correct,trial,letterColor,type,text,userColor,participant_id,stim_onset_ms,task,block_index,timeout,cond,extra,is_timeout,rt,resp_time_ms,trial_index
True,0,yellow,neutral,기차,yellow,GE4hogtdLdTFbNasENgtm6SO3hC3,1070399.199999988,stroop,,False,neutral,"{'text': '기차', 'letterColor': 'yellow', 'userColor': 'yellow'}",False,1810.199999988079,1072209.3999999762,0.0
True,1,yellow,incongruent,파랑,yellow,GE4hogtdLdTFbNasENgtm6SO3hC3,1072831.599999994,stroop,,False,incongruent,"{'text': '파랑', 'letterColor': 'yellow', 'userColor': 'yellow'}",False,1316.4000000059605,1074148.0,1.0
True,2,green,incongruent,빨강,green,GE4hogtdLdTFbNasENgtm6SO3hC3,1074781.0,stroop,,False,incongruent,"{'text': '빨강', 'letterColor': 'green', 'userColor': 'green'}",False,1200.699999988079,1075981.699999988,2.0
True,3,red,neutral,기차,red,GE4hogtdLdTFbNasENgtm6SO3hC3,1076608.5,stroop,,False,neutral,"{'text': '기차', 'letterColor': 'red', 'userColor': 'red'}",False,1185.5,1077794.0,3.0
True,4,blue,neutral,기차,blue,GE4hogtdLdTFbNasENgtm6SO3hC3,1078412.0,stroop,,False,neutral,"{'text': '기차', 'letterColor': 'blue', 'userColor': 'blue'}",False,1648.0999999940395,1080060.099999994,4.0
True,5,yellow,congruent,노랑,yellow,GE4hogtdLdTFbNasENgtm6SO3hC3,1080677.5,stroop,,False,congruent,"{'text': '노랑', 'letterColor': 'yellow', 'userColor': 'yellow'}",False,1184.5,1081862.0,5.0
True,7,red,neutral,학교,red,GE4hogtdLdTFbNasENgtm6SO3hC3,1084198.0,stroop,,False,neutral,"{'text': '학교', 'letterColor': 'red', 'userColor': 'red'}",False,1230.5999999940395,1085428.599999994,7.0
True,8,yellow,neutral,가방,yellow,GE4hogtdLdTFbNasENgtm6SO3hC3,1086063.699999988,stroop,,False,neutral,"{'text': '가방', 'letterColor': 'yellow', 'userColor': 'yellow'}",False,1194.5,1087258.199999988,8.0
True,9,red,congruent,빨강,red,GE4hogtdLdTFbNasENgtm6SO3hC3,1087872.0,stroop,,False,congruent,"{'text': '빨강', 'letterColor': 'red', 'userColor': 'red'}",False,1214.899999976158,1089086.8999999762,9.0
True,10,red,neutral,가방,red,GE4hogtdLdTFbNasENgtm6SO3hC3,1089712.3999999762,stroop,,False,neutral,"{'text': '가방', 'letterColor': 'red', 'userColor': 'red'}",False,1505.100000023842,1091217.5,10.0
True,11,red,incongruent,파랑,red,GE4hogtdLdTFbNasENgtm6SO3hC3,1091830.799999982,stroop,,False,incongruent,"{'text': '파랑', 'letterColor': 'red', 'userColor': 'red'}",False,1283.4000000059605,1093114.199999988,11.0
True,12,yellow,congruent,노랑,yellow,GE4hogtdLdTFbNasENgtm6SO3hC3,1093744.5,stroop,,False,congruent,"{'text': '노랑', 'letterColor': 'yellow', 'userColor': 'yellow'}",False,1093.699999988079,1094838.199999988,12.0
True,13,yellow,incongruent,초록,yellow,GE4hogtdLdTFbNasENgtm6SO3hC3,1095463.699999988,stroop,,False,incongruent,"{'text': '초록', 'letterColor': 'yellow', 'userColor': 'yellow'}",False,1538.699999988079,1097002.3999999762,13.0
True,14,green,neutral,학교,green,GE4hogtdLdTFbNasENgtm6SO3hC3,1097634.0,stroop,,False,neutral,"{'text': '학교', 'letterColor': 'green', 'userColor': 'green'}",False,1567.5999999940395,1099201.599999994,14.0
True,15,yellow,incongruent,빨강,yellow,GE4hogtdLdTFbNasENgtm6SO3hC3,1099815.8999999762,stroop,,False,incongruent,"{'text': '빨강', 'letterColor': 'yellow', 'userColor': 'yellow'}",False,1471.300000011921,1101287.199999988,15.0
True,16,green,incongruent,노랑,green,GE4hogtdLdTFbNasENgtm6SO3hC3,1101916.5,stroop,,False,incongruent,"{'text': '노랑', 'letterColor': 'green', 'userColor': 'green'}",False,1286.2999999821186,1103202.799999982,16.0
True,17,blue,congruent,파랑,blue,GE4hogtdLdTFbNasENgtm6SO3hC3,1103813.5,stroop,,False,congruent,"{'text': '파랑', 'letterColor': 'blue', 'userColor': 'blue'}",False,1017.899999976158,1104831.3999999762,17.0
