t2_stim,t1_resp,t1_stim,t1_correct,t2_correctResp,idx,t2_resp,t2_correct,t1_correctResp,t1_rt,t2_resp_ms,participant_id,t1_rt_ms,t1_resp_ms,t2_onset_ms,task,block_index,t2_pressed_while_t1_pending,soa,t1_timeout,t2_timeout,soa_measured_ms,response_order,t1_onset_ms,trial_index,t2_rt,soa_bin
red,O,7,True,R,66,R,True,O,1370.6999999284744,,,,,,,,,150.0,,False,,,,,1891.6999999284744,short
blue,E,2,True,B,67,B,True,E,861.3000000715256,,,,,,,,,1200.0,,False,,,,,844.2999999523163,long
red,O,3,True,R,69,R,True,O,1409.399999976158,,,,,,,,,50.0,,False,,,,,1893.899999976158,short
red,O,3,True,R,70,R,True,O,892.6000000238419,,,,,,,,,1200.0,,False,,,,,811.1999999284744,long
blue,E,8,True,B,72,B,True,E,932.2000000476836,,,,,,,,,1200.0,,False,,,,,688.7000000476837,long
blue,O,9,True,B,73,B,True,O,1060.899999976158,,,,,,,,,50.0,,False,,,,,1568.899999976158,short
red,O,1,True,R,74,R,True,O,1028.6999999284744,,,,,,,,,50.0,,False,,,,,1657.5,short
blue,E,4,True,B,75,B,True,E,895.0,,,,,,,,,50.0,,False,,,,,1443.5,short
red,E,6,True,R,76,R,True,E,1358.2000000476835,,,,,,,,,150.0,,False,,,,,1735.7000000476835,short
blue,O,5,True,B,77,B,True,O,963.100000023842,,,,,,,,,1200.0,,False,,,,,672.0999999046326,long
red,O,9,True,R,78,R,True,O,1024.4000000953674,,,,,,,,,1200.0,,False,,,,,1008.1999999284744,long
blue,O,9,True,B,79,B,True,O,934.8000000715256,,,,,,,,,150.0,,False,,,,,1344.399999976158,short
blue,E,2,True,B,80,B,True,E,1016.8000000715256,,,,,,,,,150.0,,False,,,,,1361.399999976158,short
red,E,6,True,R,81,R,True,E,1382.899999976158,,,,,,,,,50.0,,False,,,,,1872.2999999523165,short
red,O,5,True,R,82,R,True,O,1168.399999976158,,,,,,,,,150.0,,False,,,,,2073.100000023842,short
blue,O,5,True,B,84,B,True,O,1360.2000000476835,,,,,,,,,50.0,,False,,,,,1978.8000000715256,short
red,E,8,True,R,87,R,True,E,1128.899999976158,,,,,,,,,1200.0,,False,,,,,1217.2000000476835,long
red,O,3,True,R,89,R,True,O,1270.4000000953674,,,,,,,,,1200.0,,False,,,,,1068.4000000953674,long
red,E,2,True,R,90,R,True,E,1206.1999999284744,,,,,,,,,150.0,,False,,,,,1709.0999999046326,short
blue,O,3,True,B,91,B,True,O,981.2999999523164,,,,,,,,,1200.0,,False,,,,,725.1000000238419,long
blue,E,2,True,B,92,B,True,E,1093.3000000715256,,,,,,,,,50.0,,False,,,,,1502.899999976158,short
red,E,4,True,R,93,R,True,E,1409.100000023842,,,,,,,,,1200.0,,False,,,,,960.2000000476836,long
red,E,2,True,R,94,R,True,E,1315.100000023842,,,,,,,,,50.0,,False,,,,,2167.2999999523163,short
red,E,4,True,R,0,R,True,E,,1459919.799999982,GE4hogtdLdTFbNasENgtm6SO3hC3,1781.0,1459412.0,1457702.299999982,prp,,False,50.0,False,False,71.2999999821186,T1→T2,1457631.0,0.0,2217.5,short
red,O,9,True,R,1,R,True,O,,1462245.5,GE4hogtdLdTFbNasENgtm6SO3hC3,1052.5999999940395,1462002.299999982,1461014.5,prp,,False,50.0,False,False,64.80000001192093,T1→T2,1460949.699999988,1.0,1231.0,short
