participant_id,latent_class,ucla_total,wcst_pe_rate,age,gender
1dpmVw8fpcc2IHs0s9WqdU8Yvi53,2,32.0,8.333333333333332,23,female
2h5FgHUEvBS1twD5DqbTIRrMm1f2,4,65.0,13.131313131313131,23,male
4ySuGdFDDmaAr6JUXbD4UIY6BQ13,1,50.0,8.536585365853659,19,female
5zxa5CMLGQSSonWOXqXf0QNS3PH3,3,54.0,8.045977011494253,19,male
62fAfeQc27bZelkPX7G54T3gvci2,1,49.0,8.571428571428571,26,female
7cvQFrzIDEVAkFCcGAHZPUvJ2MF3,1,57.0,7.894736842105263,20,female
80UJMJbCOMgs6YVpsMgXfYTzw6o2,1,56.0,7.042253521126761,20,female
8cOQBMgQEYSlJ4CK60pFMmBVEBV2,1,42.0,6.122448979591836,20,female
A9AEg0g6c2P1Bk72HLmnK3oWJ9B2,4,38.0,10.975609756097562,21,male
AUKCfn4HzgVB7m6LNnh2gQb7G5s2,2,25.0,10.638297872340424,21,female
AsXBOflrszVNKoFqbN61bMJqS0k2,2,42.0,18.09523809523809,19,female
AyAnuCaltBbpEYbudoyNzTvXlcC2,1,62.0,11.607142857142858,22,female
CDEoAyvS8feXLKMKsaZah9agEhF3,2,33.0,8.823529411764707,22,female
CGyTPhevTbSvVnZ8qSP0NtWuhgw1,4,30.0,12.087912087912088,29,male
CtJe4bZZnYUBNrcPk00d3YQFSGp2,1,45.0,13.750000000000002,22,female
DPvStUYSmohmXwFwaKRqHv89R3k1,4,52.0,4.761904761904762,21,male
DzB19GqCB7fyrlEPexogWkjFzEx2,2,25.0,10.126582278481012,22,female
EUhcW9kURScie1DwGPHqmNqotJB2,0,36.0,32.03125,19,female
Fz7EUjZCLuUBxLDUVtN6djaBTy42,3,49.0,11.904761904761903,19,male
GDZGRW51kbWtAdUIHCtEd8sAtqY2,2,26.0,12.048192771084338,21,female
GE4hogtdLdTFbNasENgtm6SO3hC3,1,56.0,4.477611940298507,19,female
HyQM2xKwwuVfqidmRYF6TiRk90C2,3,21.0,8.433734939759036,19,male
K26uNuY0VNPjJNF26wEx3bFg0kr2,1,43.0,10.0,19,female
K7ykiXe6CqQUKpEzs2nYrMTVuDA2,1,39.0,7.526881720430108,22,female
LSLmd8jENtONZFVkIpRDX665Bu73,2,20.0,10.975609756097562,19,female
Lhv9P8ZrkDSIB7BGwooAqfu8SGF3,4,34.0,8.450704225352112,18,male
LliUMEIsrCVZ88YFQfevan2Og4z1,3,28.0,13.402061855670103,19,male
ORvIk1xRWIQmKuLVe6GXNouvAXx2,1,54.0,16.831683168316832,24,female
QG6VXg7od2fHJ1SF9ZzYBqUa1FY2,3,49.0,8.108108108108109,19,male
Qg9GDwQ9hBNkDLt50CNLd4NqRlX2,4,64.0,10.144927536231885,24,male
QreA2rLiUhV3YHeMfuHMPdGbpJ53,1,44.0,11.578947368421051,21,female
Rc706mP0TSeIoIpMYH1SpRXjOxA2,1,46.0,1.639344262295082,23,female
WKzqsLX1lNVSdbGgYTTVGtFwsrF3,1,49.0,6.8181818181818175,19,female
WbOfW9KmUkPQK8o5hlHJnJFdpp92,3,22.0,6.122448979591836,19,male
WcTsIpSoEhYeIBSNjAbbdaNSBya2,2,30.0,13.829787234042554,19,female
aj2Ivskb3BgyvBNTLIKlSZG0Sq22,1,54.0,10.92436974789916,18,female
azdL1gX79EVd9iepyCAVQrqIaQF3,2,32.0,9.876543209876544,19,female
cEIs6U87xfbSL5eFTXDK77MmvNf1,3,62.0,10.679611650485436,19,male
cUugYJoOmOSFc0Mh5JD0ZXJrYN52,3,40.0,8.403361344537815,19,male
dnkEqKuvjoQzAQm5yXlrAOp9ZlD3,1,59.0,10.95890410958904,21,female
fEq0OghbLpfD1jigl1Mbz96aMbg2,0,31.0,21.59090909090909,19,female
h12a1QYNpYbl3T0Gj1PxUz3EnEx2,1,60.0,5.555555555555555,22,female
h5RYP03wJuVN0xo7qAR8CKFxLaj1,2,29.0,7.936507936507936,21,female
i1tBstVkNiVP0qro7TgGD08IGGa2,2,26.0,10.0,20,female
iKVZi0Oo96UrMBhPQMHWFcf55uA3,3,33.0,5.88235294117647,19,male
iWsc4pghIEWOQUZKuQJMfe516UI3,4,27.0,7.5,23,male
iZScIvzhvAdvlsBXU5D8IHwvG6Q2,3,54.0,15.873015873015872,19,male
iv9ew8Ci8lOzvXFiJw1acJfuRAl2,2,23.0,11.39240506329114,18,female
jpklrtZKDdb3UbsoQ7Ho5KuR5yb2,1,41.0,3.125,19,female
jzdk8E3tVXTXIozlfK5oeEb7wWp2,4,37.0,10.256410256410255,24,male
kR2rCtaPyPaj7YMizKUDn5xL2qx1,3,53.0,11.904761904761903,19,male
lHDkoPQu5reNCO45npeYSS9eLQl1,2,36.0,14.678899082568808,20,female
lpzDdvuMkKWkPxu6xeclmdctEp42,1,52.0,10.714285714285714,19,female
mUZzgdWKnPb2txOkJg9FHgqX5792,2,33.0,14.95327102803738,19,female
mg2WZiRBn4NQDKiMK43Y8dBqyG53,1,54.0,9.523809523809524,21,female
mwsliuPsLFhRFjtjQwYkqcCRDvi2,4,49.0,9.722222222222223,21,male
nT1qJOiMyDdJ9ui4el195A8Hsgs1,1,62.0,8.860759493670885,18,female
pFlYc8DBmSXkvMIRgXFxvo3JB6j1,2,29.0,16.470588235294116,19,female
pcbRW89vVJcviD87V3uxyG4I9st2,4,33.0,2.8169014084507045,18,male
q0Atnpm0jZS5swcVmq0EMalQUKw1,2,24.0,7.042253521126761,21,female
qsRKc69hK6e8Uu6vr2pBO8NbpMt2,3,40.0,8.860759493670885,19,male
rUuJv5gl7dWVo7UPQWMx4bohxhK2,1,43.0,10.112359550561797,20,female
roaf78tUWxWSEjAUcUu8O7mrQbl1,1,58.0,11.538461538461538,19,female
ssPK6ISW0HerTGke9hznqJ2LpKu1,4,41.0,9.63855421686747,20,male
tPxs1KmmX0ZKjHS9Nr63xoOPCRr2,1,65.0,7.246376811594203,20,female
u64Uf920g5VD9Byq26LT2rs5o4t1,4,34.0,13.084112149532707,21,male
v8nNKiWvPdcjiHXZci39OuFTY6M2,2,31.0,11.842105263157894,20,female
wdppvL4tIkVlGjou6aYzzjlaZXB2,0,44.0,23.4375,18,male
xBGZhFOeypWnqzSQClkrwV9z2vF3,4,43.0,10.256410256410255,22,male
xyAILKfYP2M8GqAai11x6NT7IcP2,4,35.0,9.876543209876544,24,male
y1EHXv8tUTa4BRS4fRio7bULYfA2,2,35.0,15.84158415841584,19,female
yatBVTBMCSMp0wJluOCLzTFKMyP2,2,35.0,10.989010989010987,21,female
