N_Classes,BIC,AIC,Log_Likelihood,Entropy,Class_Sizes,Min_Class_Size
2,-45.63222992841085,-111.65554737987645,84.82777368993823,-1.000000082690371e-10,"[27, 45]",27
3,-48.37338180698666,-148.5466910436931,118.27334552184655,4.819123030814849e-09,"[2, 44, 26]",2
4,-50.47204412074677,-184.79534514269403,151.39767257134702,2.9917696714980764e-05,"[24, 42, 3, 3]",3
5,-99.12824465142938,-267.6015374586175,207.80076872930874,0.03180253419000469,"[3, 24, 19, 12, 14]",3
