outcome,outcome_label,n,observed_beta,se,min_detectable_effect,ci90_low,ci90_high,effect_is_precise,width_90ci
pe_rate,WCST PE Rate,170,-0.08534373852508957,0.1328856594638188,0.37207984649869263,-0.3039406483430715,0.13325317129289238,False,0.4371938196359639
wcst_accuracy,WCST Accuracy,170,0.1218869763690457,0.12801693562993766,0.35844741976382544,-0.08870088274220174,0.33247483548029316,False,0.4211757182224949
stroop_interference,Stroop Interference,170,0.04369847698350438,0.12246953372106276,0.3429146944189757,-0.15776390598764387,0.24516085995465262,False,0.4029247659422965
prp_bottleneck,PRP Bottleneck,166,0.019430179210728274,0.12222792327958153,0.3422381851828283,-0.18163475458418332,0.2204951130056399,False,0.4021298675898232
