participant_id,cv_slope,tau_slope,acc_slope,rt_slope,z_cv_slope,z_tau_slope,z_acc_slope,z_rt_slope,sustained_attention_index
06qcrpGKL6Vc3LVplFQC90VAcRm1,0.005748093280658284,-45.746744802037824,0.024999999999999967,-221.46037036797236,0.0775110667239055,-0.27363626965346155,-0.18074021532161708,-0.5225384324183299,-0.1344808550065672
0ZtXlQtAJkW6jS21vfMOtNL4OnL2,-0.07442270937632693,-84.66766012289192,0.02631578947368418,-56.2677387914041,-1.1398569877765679,-0.5811487352380236,-0.1623817096046229,0.8367583850435731,-0.18046640709159883
0d841i8KPjdjwCYfDuUUXj0SEjH2,-0.005128393096950151,-126.81547429438633,0.05462962962962964,62.730648187575525,-0.08764490805111357,-0.9141567888264142,0.23266613563884353,1.8159432745866184,0.14536886051756182
0oa5NYVnIBS9NmrmRAZrahXDctP2,-0.1647807325599928,-108.1312018669663,0.037037037037037035,-7.101851851437914,-2.511914735061999,-0.766533161929566,-0.012793885243929758,1.241322638348122,-0.5060828433498783
146QT9LupyU2BAiTsB3PMIpVXM22,-0.008082971675474504,-103.94185937896822,-0.02631578947368418,-145.91803118798583,-0.13250924091049748,-0.7334333484477339,-0.8967219382843865,0.09906593486477223,0.03246132094773185
1Vb7DcXYw9R86bw5qj9eBk9fPqA2,0.02379301979207457,-1.3023634533084305,0.018518518518518545,-183.21259259173166,0.3515175173614914,0.07751686169659484,-0.27117285459421686,-0.20781445163268442,0.12309819550490467
1dpmVw8fpcc2IHs0s9WqdU8Yvi53,-0.05914446125327,-254.551429265199,0.01481481481481478,-218.39222220491473,-0.907861665572808,-1.923393034507062,-0.3228486484642752,-0.4972920034841632,-0.7514245137749395
1tT7dcLvf0bMGBdBWWYd8YkdJwr1,-0.004867847591622648,-95.45250245686469,-0.0011904761904761862,-178.8966137540561,-0.08368860769714986,-0.6663593072330697,-0.5461619005455945,-0.1723001781309268,-0.09404654812888794
23AEyocWhqY955WHbxhHRSgQ1ms2,-0.0627774614660214,-95.75613830622913,0.06851851851851853,-197.64324074095055,-0.9630276144522237,-0.6687583209229634,0.4264503626515592,-0.32655784784799174,-0.5961985364686845
2h5FgHUEvBS1twD5DqbTIRrMm1f2,-0.01710911951442745,2.967978624052847,0.04329004329004327,-166.26705146664432,-0.26956841545005056,0.11125664942443521,0.07445096154967352,-0.06837711776574043,-0.07528496133525733
2zDXvJKvjeejeOSNbtDbtSI5cdz1,0.1073079904452553,96.4924788879022,0.05698529411764708,-50.39783496758446,1.619665695704177,0.8501896737793521,0.2655334604164905,0.8850592172924207,0.7723452815898648
3WijiOiVCoMbn80F05SPYsxl0TC2,0.05625336224557784,-36.43637873476797,0.0,-199.13060430581112,0.8444174588790082,-0.20007547075552423,-0.5295518239445047,-0.33879670221351865,0.2087742774636175
3xCaqfcHxRQxuOlEzXz3PNcHODH2,-0.1625039302485841,-206.52704540442141,0.09912854030501089,-295.7479302836725,-2.4773422185290075,-1.5439544584236697,0.8535356002246813,-1.1338177782747278,-1.5021625138630217
4ySuGdFDDmaAr6JUXbD4UIY6BQ13,0.038822732062250204,-39.37770963416915,-0.0013157894736842146,-240.41669590644415,0.5797389019512018,-0.22331479874970117,-0.5479103296614989,-0.6785216184073075,0.056453203613923
5OOi73igsahMZ5IVKQwwyhnj4Cn2,-0.014745000770172989,66.81612085892671,0.033333333333333326,-125.48962962958035,-0.23367002674843265,0.6157180548097239,-0.06446967911398734,0.26716218079995196,0.17841997199380763
5rXSa3anB5ejmFrnwUsTB82byup1,0.02678045674697027,65.27929438763792,-0.047619047619047616,-218.8076719576419,0.396880794180416,0.603575655447692,-1.193954887988101,-0.5007105550339981,0.4234251956455527
5zxa5CMLGQSSonWOXqXf0QNS3PH3,-0.12350804913974225,-233.64067937237314,-0.04232804232804238,-100.2833333037517,-1.8852022081300182,-1.758178105624863,-1.1201323253165911,0.47457360132580884,-0.5121685967781202
62fAfeQc27bZelkPX7G54T3gvci2,0.1107149218138403,204.85948656540597,0.012731481481481455,-7.265277777678762,1.6713988613272805,1.7063927061133584,-0.35191628251618245,1.2399778789644265,1.242421432230312
