predictor,beta,se,p
Intercept,-35.35093747724143,1.8000731695149228,7.234952698132282e-86
C(gender_male)[T.1],4.532079526146391,2.8817387484402746,0.11579079221800445
z_ucla,0.8660337917744871,2.1839485704880914,0.6917030493934568
z_ucla:C(gender_male)[T.1],-5.524281988205142,3.0118151407863967,0.06662378639709682
z_dass_dep,2.612920233131409,2.300501652678072,0.2560383744514664
z_dass_anx,-2.3485229920038977,2.4746225303047655,0.3425987833870896
z_dass_str,0.6532356617821051,2.2050012127226313,0.7670377636589218
z_age,-0.07921236220779981,3.6705016449650687,0.9827823492790362
