outcome,outcome_label,n,bic_full,bic_null,bic_diff,bf01,bf10,log_bf01,interpretation,r2_full,r2_null,delta_r2
pe_rate,WCST PE Rate,170,1075.200174897725,1065.6981053701604,9.502069527564572,115.70394886009929,0.008642747372512985,2.0633481812411665,Decisive evidence for H0 (no UCLA effect),0.039065884438609366,0.03470623001937623,0.004359654419233139
wcst_accuracy,WCST Accuracy,170,1291.8101285960038,1282.6331162949577,9.177012301046034,98.34740415366771,0.010168036549673453,1.992762901351278,Strong evidence for H0,0.03525553013465488,0.02902375745946928,0.006231772675185598
stroop_interference,Stroop Interference,170,2103.8304330268847,2094.67783825498,9.15259477190466,97.1540036465156,0.01029293660031132,1.9874607022673727,Strong evidence for H0,0.03806612142799648,0.03171343632818335,0.006352685099813127
prp_bottleneck,PRP Bottleneck,166,2164.1139059779075,2158.1056813006567,6.008224677250837,20.168305522098414,0.0495827474898325,1.3046694116824924,Strong evidence for H0,0.10025786974193529,0.0771153164894176,0.023142553252517684
