model,subset,n,auc,auc_std,accuracy,precision,recall,f1
Logistic Regression,Overall,40,0.9875,0.024999999999999998,0.925,0.96,0.9,0.9206349206349206
Logistic Regression,Male,13,0.861111111111111,0.10393492741038726,0.85,1.0,0.7222222222222222,0.8222222222222223
Logistic Regression,Female,27,1.0,0.0,0.9259259259259259,0.9333333333333332,0.9333333333333332,0.9259259259259259
Random Forest,Overall,40,0.98125,0.025,0.875,0.8933333333333333,0.9,0.8806349206349207
Random Forest,Male,13,1.0,0.0,0.9166666666666666,1.0,0.8333333333333334,0.8888888888888888
Random Forest,Female,27,0.9833333333333334,0.023570226039551608,0.9629629629629629,1.0,0.9333333333333332,0.9629629629629629
