feature,importance
dass_depression,0.21629314271789019
wcst_mean_rt,0.11341579869377351
t2_rt_mean_long,0.09951219624566043
dass_stress,0.09118920824089143
stroop_interference,0.0857154654010428
t2_rt_mean_short,0.07585418043183334
pe_rate,0.07295721553928758
dass_anxiety,0.06666955489147572
wcst_accuracy,0.06389939978070716
stroop_effect,0.062266872156569196
prp_bottleneck,0.0522269659008688
