task,phase,phase_label,outcome,n,ucla_beta,ucla_p,interaction_beta,interaction_p
wcst,early,Early (Q1),accuracy,170,0.016623125234050615,0.3029673636086222,-0.004897184286463609,0.7744917712294861
wcst,late,Late (Q4),accuracy,170,-0.0019300861010225785,0.902499960412978,0.0012027207871151413,0.9309316583508056
stroop,early,Early (Q1),accuracy,170,-0.00497735416102027,0.03904140136959611,0.004998361205588674,0.08300850021539859
stroop,late,Late (Q4),accuracy,170,0.0008405429422615076,0.7415196978848921,-0.005479580372270171,0.14641719460009905
