task,lag,n,correlation,p_value,gender
WCST,1,177,0.038198930821415365,0.6137082427904818,
WCST,1,68,-0.04280048225202855,0.7289239979567205,male
WCST,1,106,0.056354359983462034,0.5661163543045331,female
