participantId,correct,trial,rt,letterColor,type,text,userColor,participant_id,stim_onset_ms,task,block_index,timeout,cond,extra,is_timeout,rt_ms,resp_time_ms,trial_index
7QYZfcjgZHcVB941oHiLGGPTk7U2,True,0,949.0999999046326,blue,incongruent,빨강,blue,,,,,,,,,,,
7QYZfcjgZHcVB941oHiLGGPTk7U2,True,1,908.3999999761581,blue,congruent,파랑,blue,,,,,,,,,,,
7QYZfcjgZHcVB941oHiLGGPTk7U2,True,2,1108.7999999523163,green,congruent,초록,green,,,,,,,,,,,
7QYZfcjgZHcVB941oHiLGGPTk7U2,True,3,959.1000000238419,yellow,incongruent,파랑,yellow,,,,,,,,,,,
7QYZfcjgZHcVB941oHiLGGPTk7U2,True,4,1245.8999999761581,red,incongruent,파랑,red,,,,,,,,,,,
7QYZfcjgZHcVB941oHiLGGPTk7U2,True,5,849.6000000238419,red,neutral,기차,red,,,,,,,,,,,
7QYZfcjgZHcVB941oHiLGGPTk7U2,True,6,1100.0,green,neutral,기차,green,,,,,,,,,,,
7QYZfcjgZHcVB941oHiLGGPTk7U2,True,7,1728.3000000715256,green,incongruent,노랑,green,,,,,,,,,,,
7QYZfcjgZHcVB941oHiLGGPTk7U2,True,8,1272.0,blue,neutral,기차,blue,,,,,,,,,,,
7QYZfcjgZHcVB941oHiLGGPTk7U2,True,9,804.2000000476837,blue,congruent,파랑,blue,,,,,,,,,,,
7QYZfcjgZHcVB941oHiLGGPTk7U2,True,10,681.0,blue,neutral,기차,blue,,,,,,,,,,,
7QYZfcjgZHcVB941oHiLGGPTk7U2,True,11,777.6000000238419,blue,incongruent,노랑,blue,,,,,,,,,,,
7QYZfcjgZHcVB941oHiLGGPTk7U2,True,12,589.2000000476837,blue,neutral,가방,blue,,,,,,,,,,,
7QYZfcjgZHcVB941oHiLGGPTk7U2,True,13,866.5,green,incongruent,노랑,green,,,,,,,,,,,
7QYZfcjgZHcVB941oHiLGGPTk7U2,True,14,1040.8999999761581,yellow,incongruent,파랑,yellow,,,,,,,,,,,
7QYZfcjgZHcVB941oHiLGGPTk7U2,True,15,996.1999999284744,blue,neutral,기차,blue,,,,,,,,,,,
7QYZfcjgZHcVB941oHiLGGPTk7U2,True,16,557.6999999284744,blue,neutral,가방,blue,,,,,,,,,,,
7QYZfcjgZHcVB941oHiLGGPTk7U2,True,17,915.2000000476837,red,neutral,기차,red,,,,,,,,,,,
7QYZfcjgZHcVB941oHiLGGPTk7U2,True,18,924.8999999761581,green,congruent,초록,green,,,,,,,,,,,
7QYZfcjgZHcVB941oHiLGGPTk7U2,True,19,2030.7000000476837,blue,incongruent,노랑,blue,,,,,,,,,,,
7QYZfcjgZHcVB941oHiLGGPTk7U2,True,20,982.1000000238419,yellow,congruent,노랑,yellow,,,,,,,,,,,
7QYZfcjgZHcVB941oHiLGGPTk7U2,True,21,977.7999999523163,green,neutral,가방,green,,,,,,,,,,,
7QYZfcjgZHcVB941oHiLGGPTk7U2,True,22,1183.8000000715256,blue,neutral,학교,blue,,,,,,,,,,,
7QYZfcjgZHcVB941oHiLGGPTk7U2,True,23,799.2999999523163,red,congruent,빨강,red,,,,,,,,,,,
