participantId,t2_stim,t1_resp,t1_stim,t1_correct,t2_correctResp,idx,t2_resp,t2_rt,t2_correct,t1_correctResp,soa,t1_rt,t2_resp_ms,participant_id,t1_rt_ms,t1_resp_ms,t2_onset_ms,task,block_index,t2_pressed_while_t1_pending,soa_nominal_ms,t1_timeout,t2_timeout,soa_measured_ms,response_order,t1_onset_ms,trial_index,t2_rt_ms
7QYZfcjgZHcVB941oHiLGGPTk7U2,red,E,6,True,R,32,R,1561.1999999284744,True,E,50.0,1047.3999999761581,,,,,,,,,,,,,,,,
7QYZfcjgZHcVB941oHiLGGPTk7U2,red,O,5,True,R,33,R,771.7000000476837,True,O,1200.0,1012.3000000715256,,,,,,,,,,,,,,,,
7QYZfcjgZHcVB941oHiLGGPTk7U2,blue,O,5,True,B,34,B,1390.8999999761581,True,O,150.0,957.8000000715256,,,,,,,,,,,,,,,,
7QYZfcjgZHcVB941oHiLGGPTk7U2,blue,O,1,True,B,35,B,1391.3999999761581,True,O,150.0,983.8999999761581,,,,,,,,,,,,,,,,
7QYZfcjgZHcVB941oHiLGGPTk7U2,blue,O,5,True,B,36,B,1439.7999999523163,True,O,150.0,950.8999999761581,,,,,,,,,,,,,,,,
7QYZfcjgZHcVB941oHiLGGPTk7U2,blue,O,9,True,B,37,B,1735.6999999284744,True,O,50.0,1195.0,,,,,,,,,,,,,,,,
7QYZfcjgZHcVB941oHiLGGPTk7U2,red,O,9,True,R,38,R,1558.6000000238419,True,O,50.0,969.7999999523163,,,,,,,,,,,,,,,,
7QYZfcjgZHcVB941oHiLGGPTk7U2,red,E,2,True,R,39,R,1293.8999999761581,True,E,600.0,984.5999999046326,,,,,,,,,,,,,,,,
7QYZfcjgZHcVB941oHiLGGPTk7U2,red,E,4,True,R,40,R,2154.2000000476837,True,E,50.0,1452.6000000238419,,,,,,,,,,,,,,,,
7QYZfcjgZHcVB941oHiLGGPTk7U2,blue,E,2,True,B,41,B,1447.5,True,E,150.0,998.8000000715256,,,,,,,,,,,,,,,,
7QYZfcjgZHcVB941oHiLGGPTk7U2,blue,O,5,True,B,42,B,1602.1999999284744,True,O,50.0,932.5,,,,,,,,,,,,,,,,
7QYZfcjgZHcVB941oHiLGGPTk7U2,red,O,9,True,R,43,R,1522.6000000238419,True,O,150.0,1145.3000000715256,,,,,,,,,,,,,,,,
7QYZfcjgZHcVB941oHiLGGPTk7U2,blue,O,9,True,B,44,B,886.2999999523163,True,O,600.0,863.3999999761581,,,,,,,,,,,,,,,,
7QYZfcjgZHcVB941oHiLGGPTk7U2,blue,E,6,True,B,45,B,824.8000000715256,True,E,600.0,905.8000000715256,,,,,,,,,,,,,,,,
7QYZfcjgZHcVB941oHiLGGPTk7U2,blue,E,8,True,B,46,B,1859.8999999761581,True,E,50.0,1367.1999999284744,,,,,,,,,,,,,,,,
7QYZfcjgZHcVB941oHiLGGPTk7U2,blue,O,6,False,B,47,B,1567.7000000476837,True,E,1200.0,959.7000000476837,,,,,,,,,,,,,,,,
7QYZfcjgZHcVB941oHiLGGPTk7U2,red,E,4,True,R,48,R,1032.6000000238419,True,E,600.0,1089.4000000953674,,,,,,,,,,,,,,,,
7QYZfcjgZHcVB941oHiLGGPTk7U2,blue,O,9,True,B,49,B,834.7000000476837,True,O,1200.0,1283.0,,,,,,,,,,,,,,,,
7QYZfcjgZHcVB941oHiLGGPTk7U2,blue,E,6,True,B,50,B,1699.8999999761581,True,E,150.0,1233.3999999761581,,,,,,,,,,,,,,,,
7QYZfcjgZHcVB941oHiLGGPTk7U2,red,O,5,True,R,51,R,1178.7000000476837,True,O,600.0,1065.8999999761581,,,,,,,,,,,,,,,,
7QYZfcjgZHcVB941oHiLGGPTk7U2,blue,E,2,True,B,52,B,836.5,True,E,1200.0,1030.5,,,,,,,,,,,,,,,,
7QYZfcjgZHcVB941oHiLGGPTk7U2,blue,E,4,True,B,53,B,1506.7000000476837,True,E,600.0,1418.9000000953674,,,,,,,,,,,,,,,,
7QYZfcjgZHcVB941oHiLGGPTk7U2,red,E,2,True,R,54,R,902.7999999523163,True,E,600.0,912.3000000715256,,,,,,,,,,,,,,,,
7QYZfcjgZHcVB941oHiLGGPTk7U2,blue,E,6,True,B,55,B,1118.7000000476837,True,E,600.0,1084.7999999523163,,,,,,,,,,,,,,,,
7QYZfcjgZHcVB941oHiLGGPTk7U2,red,O,5,True,R,56,R,1072.8999999761581,True,O,600.0,1114.0,,,,,,,,,,,,,,,,
7QYZfcjgZHcVB941oHiLGGPTk7U2,red,O,9,True,R,57,R,822.2000000476837,True,O,1200.0,863.4000000953674,,,,,,,,,,,,,,,,
7QYZfcjgZHcVB941oHiLGGPTk7U2,blue,O,9,True,B,58,B,1713.0,True,O,50.0,987.0,,,,,,,,,,,,,,,,
7QYZfcjgZHcVB941oHiLGGPTk7U2,red,E,2,True,R,59,R,1570.0,True,E,50.0,1077.3999999761581,,,,,,,,,,,,,,,,
