participant_id,linear_slope,linear_intercept,linear_r,linear_r2,linear_p,n_soas
06qcrpGKL6Vc3LVplFQC90VAcRm1,-0.3218833138856665,795.6546577205661,-0.8653029065171673,0.7487491200270576,0.05812941661910503,5
0ZtXlQtAJkW6jS21vfMOtNL4OnL2,-0.42374970828472125,856.540699144314,-0.9012764520483753,0.8122992430169073,0.036679799507890486,5
0d841i8KPjdjwCYfDuUUXj0SEjH2,-0.5444532283712852,1179.180985095296,-0.93117634559292,0.8670893865917851,0.02144892199073848,5
0oa5NYVnIBS9NmrmRAZrahXDctP2,-0.3332022559320904,841.1638710620205,-0.8671168206218685,0.7518915806053776,0.05697538377293233,5
146QT9LupyU2BAiTsB3PMIpVXM22,-0.3990193969528285,961.0984515841118,-0.8591571070521081,0.7381509345981476,0.06209285488306186,5
1Vb7DcXYw9R86bw5qj9eBk9fPqA2,-0.41272729482704607,1032.1337222863629,-0.9335539446450265,0.8715229675622892,0.020354530701972927,5
1dpmVw8fpcc2IHs0s9WqdU8Yvi53,-0.7275299008163393,1743.5304210451632,-0.9756535996202281,0.9518999464519085,0.004543531998952788,5
1tT7dcLvf0bMGBdBWWYd8YkdJwr1,-0.670301371494804,1668.5400077006552,-0.9030106409236798,0.815428217621395,0.03572717593515979,5
23AEyocWhqY955WHbxhHRSgQ1ms2,-0.3318724383635826,972.7610416737587,-0.8421524818863427,0.7092208027473268,0.07347350290875992,5
2h5FgHUEvBS1twD5DqbTIRrMm1f2,-0.48228245016332516,1102.7156879444574,-0.953082045391514,0.908365385247672,0.01211329273439973,5
2zDXvJKvjeejeOSNbtDbtSI5cdz1,-0.6600633022170233,1411.6807856864139,-0.9564296583057748,0.9147576912869011,0.010845795883637639,5
3WijiOiVCoMbn80F05SPYsxl0TC2,-0.483588049401689,1085.366336058905,-0.9428625146911892,0.888989721609793,0.01625391391661295,5
3xCaqfcHxRQxuOlEzXz3PNcHODH2,-0.43495517308412524,908.3818796188725,-0.9581146955667434,0.9179837698609534,0.010225365189661832,5
4ySuGdFDDmaAr6JUXbD4UIY6BQ13,-0.6341624367950107,1299.6922209257032,-0.957672653525829,0.9171369113112025,0.010386965204705969,5
5OOi73igsahMZ5IVKQwwyhnj4Cn2,-0.3473685822637289,995.8453811746231,-0.8948153992531793,0.8006945987406268,0.040298468702236905,5
5rXSa3anB5ejmFrnwUsTB82byup1,-0.35829597897955506,1086.2588677219023,-0.8917650074535323,0.7952448285185985,0.04204417974067466,5
5zxa5CMLGQSSonWOXqXf0QNS3PH3,-0.5138570108856153,1097.6500583369414,-0.941563504654068,0.8865418332964512,0.016808008198958786,5
62fAfeQc27bZelkPX7G54T3gvci2,-0.6145720050565102,1549.817288992655,-0.9804805887831961,0.9613421849806429,0.00326406091769701,5
6ABZuv4jbjgE0B8TeyUk6nwVb122,-0.7001109490288876,1486.7693698890057,-0.9671621204458898,0.9354025672253898,0.007107971695304252,5
6WFCyGwk71XLPBmbe4Vav3eotVm1,-0.35754103453277103,834.797209215229,-0.8482497306059623,0.7195276054730877,0.0693245207892761,5
7cvQFrzIDEVAkFCcGAHZPUvJ2MF3,-0.6765101613985895,1229.2455075798634,-0.9697455302700869,0.940406393478812,0.0062883601589876605,5
80UJMJbCOMgs6YVpsMgXfYTzw6o2,-0.4778989206534813,1030.3835035006168,-0.9348768538452491,0.8739947318555913,0.01975369913860142,5
87w5Le0CgZhSfYAaOH3Xd2fc98l1,-0.6237103753408669,1491.6984393234343,-0.9357662395754587,0.8756584551291947,0.019353057815941866,5
8bwaafIhKVMNBoHaXFcY8HirS9u2,-0.4715320400866448,1027.2430717763687,-0.9555418854257594,0.913060294803015,0.011177453105869513,5
8cOQBMgQEYSlJ4CK60pFMmBVEBV2,-0.7301030727960126,1638.439080136938,-0.9348799916988051,0.8740005988787579,0.019752280956219677,5
8mscvscxtXf7EbbLqCyy4a4pl2q2,-0.6711915427946774,1392.7043053490936,-0.9312061798738697,0.8671449494352858,0.02143507484921659,5
9Xz1RIwnPXgyRqmucudW9VeuDnq1,-0.4986093213603467,1360.7432588402555,-0.9683184898426547,0.9376406977711593,0.0067370222542098455,5
9l7DjYLs0XdgwykPZR5E01KTZfu2,-0.5722865837499816,1478.7139497388284,-0.8869886804922335,0.7867489193213534,0.044824386102525045,5
A9AEg0g6c2P1Bk72HLmnK3oWJ9B2,-0.5163489887046471,1093.2880348093033,-0.9660151319378829,0.9331852351329654,0.007482312870127717,5
ASGvwW80q7VY7xFaLGZhVuErUQu2,-0.5950863186114705,1600.6767064807632,-0.9836567001074596,0.9675805036662968,0.0025019345356362774,5
AUKCfn4HzgVB7m6LNnh2gQb7G5s2,-0.5792510696018034,1331.4896586389914,-0.963705155481268,0.9287276267011749,0.00825510595135886,5
AsXBOflrszVNKoFqbN61bMJqS0k2,-0.6084205562013659,1423.7309558474626,-0.94031409000693,0.8841905878655608,0.017346614742923344,5
AyAnuCaltBbpEYbudoyNzTvXlcC2,-0.6882757929750044,1755.658858236713,-0.9227994261813219,0.851558780960577,0.025448988551437627,5
BbwUTWswjtPWhb5DvLAmh9Hdpyl2,-0.7112756307814588,1549.0489278406217,-0.9745361878853807,0.94972078149817,0.0048590703780482655,5
BcCTlXWx6ARh4rBtkdWRgZH3C7H2,-0.5948770906183563,1228.0867950221482,-0.957386751404082,0.9165893917640615,0.010491925275519193,5
CDEoAyvS8feXLKMKsaZah9agEhF3,-0.6476757584596723,1349.19751555812,-0.9780532677643621,0.9565881945845469,0.003890037355951775,5
CGyTPhevTbSvVnZ8qSP0NtWuhgw1,-0.5523189420245214,1143.5092133245246,-0.8906605930164971,0.7932762919524984,0.04268200361410747,5
