,UCLA,DASS-Dep,DASS-Anx,DASS-Str,WCST PE
UCLA,"[1.00, 1.00]","[0.580, 0.732]","[0.388, 0.592]","[0.448, 0.637]","[-0.245, 0.022]"
DASS-Dep,"[0.580, 0.732]","[1.00, 1.00]","[0.575, 0.729]","[0.585, 0.736]","[-0.278, -0.014]"
DASS-Anx,"[0.388, 0.592]","[0.575, 0.729]","[1.00, 1.00]","[0.686, 0.805]","[-0.262, 0.003]"
DASS-Str,"[0.448, 0.637]","[0.585, 0.736]","[0.686, 0.805]","[1.00, 1.00]","[-0.267, -0.003]"
WCST PE,"[-0.245, 0.022]","[-0.278, -0.014]","[-0.262, 0.003]","[-0.267, -0.003]","[1.00, 1.00]"
