outcome,outcome_column,n_female,n_male,mean_female,mean_male,sd_female,sd_male,mean_diff_male_minus_female,t_stat,p_value,cohen_d
WCST Perseverative Error Rate,pe_rate,122,78,10.392193388960255,9.603276937195966,4.62747198733627,4.134870941593105,-0.7889164517642886,1.2557098738882388,0.2108731872588088,-0.17758787928551664
WCST Accuracy (%),wcst_accuracy,122,78,82.80858449640517,84.2687311428263,7.085573783926194,6.534666030653122,1.4601466464211228,-1.49104899473731,0.13776155857590702,0.21233621914113535
WCST Mean Reaction Time (ms),wcst_mean_rt,122,78,1675.0007271229408,1520.7502092310792,383.8316696738156,390.4243714037019,-154.2505178918616,2.7431940206864054,0.006769351331915573,-0.3991899052895607
WCST Reaction Time SD,wcst_sd_rt,122,78,1036.5508291483502,1051.4655680365154,475.7900931528623,487.7295741656542,14.914738888165175,-0.21295282004293414,0.8316327931837012,0.03104207555118548
WCST Perseverative Error Count,pe_count,122,78,9.39344262295082,8.602564102564102,5.635714591734626,4.9865787235305294,-0.7908785203867179,1.0392515891913945,0.3000941862363044,-0.14666088631768293
WCST Perseverative Responses (count),perseverativeResponses,122,78,25.540983606557376,25.23076923076923,8.568776242687733,8.942708089389253,-0.3102143757881457,0.24319375150769318,0.808168666242327,-0.035590958477175444
WCST Perseverative Errors (count),perseverativeErrorCount,122,78,9.39344262295082,8.602564102564102,5.635714591734626,4.9865787235305294,-0.7908785203867179,1.0392515891913945,0.3000941862363044,-0.14666088631768293
WCST Perseverative Responses (%),perseverativeResponsesPercent,122,78,29.19108716594709,28.98836309602975,6.307105405043094,6.7207376753756565,-0.2027240699173376,0.2130819678259855,0.8315402720107975,-0.03132758221687922
WCST Post-Error Slowing (ms),wcst_pes,121,78,1130.8276995927874,1028.8442614517867,919.8219378060012,665.4475047200247,-101.98343814100076,0.9060446464238113,0.3660342602016655,-0.12291121574626847
WCST Post-Switch Error Rate,wcst_post_switch_error_rate,122,78,0.362568306010929,0.3165384615384615,0.1464447274485292,0.11545310987331862,-0.046029844472467496,2.472161058101941,0.014312243289882535,-0.3403592406806986
WCST Reaction Time Coefficient of Variation,wcst_cv_rt,122,78,0.6070573514697235,0.6762273111497814,0.2043286188886057,0.22166295407742745,0.0691699596800579,-2.218463545263661,0.02798255962039814,0.32744905419330483
WCST Valid Trial Count,wcst_trials,122,78,86.45081967213115,86.1923076923077,16.361667790182764,16.95376270714174,-0.258511979823453,0.10661491359928738,0.9152281126841219,-0.015578230972598339
WCST HMM Lapse Occupancy (%),wcst_hmm_lapse_occupancy,122,78,14.829172224094481,15.11000536967757,10.47340698364428,11.026279716333411,0.28083314558308814,-0.1791320641655382,0.8580635120513275,0.026266191246351604
WCST HMM P(Focus->Lapse),wcst_hmm_trans_to_lapse,122,78,0.1050751492296461,0.09744013290531472,0.08097850028968705,0.07529775704869221,-0.007635016324331376,0.6789987462075657,0.49804687495520816,-0.09686895572646921
WCST HMM P(Lapse->Focus),wcst_hmm_trans_to_focus,122,78,0.6559773222929791,0.6606663366051178,0.27192394987056745,0.28395757984893744,0.00468901431213864,-0.1157929722684459,0.907962750347181,0.016948291677749985
WCST HMM P(Lapse->Lapse),wcst_hmm_stay_lapse,122,78,0.34402267770702083,0.3393336633948823,0.27192394987056745,0.2839575798489374,-0.004689014312138529,0.11579297226844316,0.9079627503471832,-0.01694829167774959
WCST HMM P(Focus->Focus),wcst_hmm_stay_focus,122,78,0.8949248507703539,0.9025598670946854,0.08097850028968706,0.07529775704869221,0.007635016324331501,-0.6789987462075768,0.4980468749552013,0.09686895572647079
WCST HMM Lapse RT Mean,wcst_hmm_lapse_rt_mean,122,78,4306.2080381787455,3984.77937116096,2764.1469605905995,2330.334864356632,-321.4286670177853,0.8838720106252456,0.3779225141146796,-0.1234344204145637
WCST HMM Focus RT Mean,wcst_hmm_focus_rt_mean,122,78,1358.4597349854646,1185.4634261326107,297.03451029735135,258.50930178026493,-172.99630885285387,4.35226362593529,2.2540100700245388e-05,-0.6119927088319503
WCST HMM RT Difference,wcst_hmm_rt_diff,122,78,2947.748303193281,2799.3159450283483,2668.250852495595,2243.632658691178,-148.4323581649328,0.4234119278878152,0.6724901782871262,-0.05909716921330197
WCST HMM State Changes,wcst_hmm_state_changes,122,78,12.778688524590164,11.820512820512821,8.928098735237432,8.046526377672961,-0.9581757040773429,0.7866984216654049,0.4325141552755495,-0.11146743066378335
WCST RL alpha,wcst_rl_alpha,122,78,0.14505601851835503,0.12555722786751627,0.3089189651278353,0.27111922008790046,-0.01949879065083876,0.4695300685036754,0.6392613615389701,-0.06614343356350423
WCST RL beta,wcst_rl_beta,122,78,0.4244715922355421,0.3427484213958674,1.0689105324313344,0.562184801448609,-0.08172317083967467,0.7055261422231635,0.48133839691661384,-0.09018514329379614
WCST RL alpha (pos),wcst_rl_alpha_pos,122,78,0.37066872002197154,0.343424180629215,0.4161287959056257,0.42015901410175716,-0.02724453939275656,0.4489530496483276,0.6540616416061715,-0.06522502319615384
WCST RL alpha (neg),wcst_rl_alpha_neg,122,78,0.4582461184288072,0.4980024806591429,0.42282012848313233,0.4381847066574776,0.039756362230335685,-0.6344192202885145,0.5267138766685592,0.09270228361846106
WCST RL alpha asymmetry,wcst_rl_alpha_asymmetry,122,78,-0.08757739840683557,-0.1545783000299279,0.5367399330088449,0.6269212801904472,-0.06700090162309233,0.7788569606436931,0.43732697672501464,-0.11682848205313316
WCST RL beta (asym),wcst_rl_beta_asym,122,78,1.1397157542547858,1.3287010344573584,2.100410725340378,2.449215879707813,0.18898528020257266,-0.5620293168962915,0.5749584150733961,0.08427387256284956
WCST WSLS P(stay|win),wcst_wsls_p_stay_win,122,78,0.9650991580671882,0.959945889411732,0.06422900815806656,0.051091916270096654,-0.005153268655456178,0.6282562042049556,0.5305959626631253,-0.08665906654523987
WCST WSLS P(shift|lose),wcst_wsls_p_shift_lose,118,78,0.7792151220055008,0.8562389114990924,0.2221383830917361,0.15788160953697572,0.07702378949359157,-2.835758108050938,0.005059246817607629,0.3867982022614924
WCST Bayesian RL hazard,wcst_brl_hazard,122,78,0.18157013649018688,0.20265889696158942,0.07735029252534556,0.06846378040270386,0.02108876047140254,-2.0186872795981476,0.04501744419447637,0.2849012175141855
WCST Bayesian RL noise,wcst_brl_noise,122,78,0.1470269411621034,0.12240787513936767,0.1089343819950279,0.10963453867709758,-0.02461906602273574,1.5528063741549436,0.12240359396348396,-0.22543446172943868
WCST Bayesian RL beta,wcst_brl_beta,122,78,6.296753905882547,6.701723027944849,1.2972096270571196,1.511293593936463,0.40496912206230284,-1.9512287623480145,0.05294418143184728,0.2925223600655022
