analysis,model,r_squared,adj_r_squared
1. Composite Indices,Model 0: Covariates,0.0333451778386799,-0.0203578678369489
1. Composite Indices,Model 1: DASS,0.1415723333425445,0.011507535364142
1. Composite Indices,Model 2: UCLA,0.1517558431124347,-0.0072899363039837
1. Composite Indices,Model 3: UCLA×Gender,0.1639095733124832,-0.0248850391653432
