participant_id,incong_rt,cong_rt,neutral_rt,overall_acc,incong_acc,cong_acc,interference,high_accuracy,ucla_total,gender,interference_neutral,gender_male
1dpmVw8fpcc2IHs0s9WqdU8Yvi53,1101.37222222156,860.7472222215599,879.4055555462837,0.9907407407407407,0.9722222222222222,1.0,240.625,True,32.0,female,221.9666666752762,0
2h5FgHUEvBS1twD5DqbTIRrMm1f2,858.899999992715,720.041666665011,731.5944444470936,0.9907407407407407,0.9722222222222222,1.0,138.85833332770403,True,65.0,male,127.30555554562147,1
4ySuGdFDDmaAr6JUXbD4UIY6BQ13,966.1194444444554,787.597222222219,729.3611111111046,1.0,1.0,1.0,178.52222222223645,True,50.0,female,236.75833333335083,0
5zxa5CMLGQSSonWOXqXf0QNS3PH3,705.144444445769,575.4777777724796,638.3638888729943,0.9907407407407407,1.0,0.9722222222222222,129.66666667328934,True,54.0,male,66.78055557277469,1
62fAfeQc27bZelkPX7G54T3gvci2,1157.6228571428785,967.872222222129,935.4750000000672,0.9906542056074766,1.0,1.0,189.75063492074946,False,49.0,female,222.1478571428113,0
7cvQFrzIDEVAkFCcGAHZPUvJ2MF3,1180.161111123032,1034.519444419278,1196.349999990728,1.0,1.0,1.0,145.64166670375403,True,57.0,female,-16.18888886769605,0
80UJMJbCOMgs6YVpsMgXfYTzw6o2,773.4694444446618,699.3416666667908,767.8527777778605,1.0,1.0,1.0,74.12777777787096,True,56.0,female,5.6166666668012795,0
8cOQBMgQEYSlJ4CK60pFMmBVEBV2,1325.7138889895546,1007.9555554389954,1058.733333322737,0.9907407407407407,0.9722222222222222,1.0,317.7583335505592,True,42.0,female,266.9805556668175,0
A9AEg0g6c2P1Bk72HLmnK3oWJ9B2,960.847222228845,833.6083333293597,788.8638888796171,1.0,1.0,1.0,127.23888889948535,True,38.0,male,171.9833333492279,1
AUKCfn4HzgVB7m6LNnh2gQb7G5s2,1017.8555555873447,933.2916666931576,908.8305555846956,0.9907407407407407,0.9722222222222222,1.0,84.56388889418713,True,25.0,female,109.02500000264911,0
AsXBOflrszVNKoFqbN61bMJqS0k2,847.424999995364,725.5027777751287,746.5472222169241,0.9629629629629629,0.9166666666666666,1.0,121.92222222023531,False,42.0,female,100.87777777843996,0
AyAnuCaltBbpEYbudoyNzTvXlcC2,1146.6111111127668,954.6750000102652,955.1583333313465,0.9629629629629629,0.9166666666666666,0.9722222222222222,191.93611110250163,False,62.0,female,191.4527777814203,0
CDEoAyvS8feXLKMKsaZah9agEhF3,939.7083333333334,745.6194444444393,827.2916666666538,1.0,1.0,1.0,194.08888888889408,True,33.0,female,112.41666666667959,0
CGyTPhevTbSvVnZ8qSP0NtWuhgw1,1290.1222222381168,903.308333337307,972.4972222314941,0.9907407407407407,0.9722222222222222,1.0,386.81388890080984,True,30.0,male,317.6250000066227,1
CtJe4bZZnYUBNrcPk00d3YQFSGp2,849.6638888888863,741.7555555555801,786.3333333333399,1.0,1.0,1.0,107.90833333330613,True,45.0,female,63.330555555546425,0
DPvStUYSmohmXwFwaKRqHv89R3k1,1131.5944444537163,914.6944444510672,939.9138888849152,0.9722222222222222,0.9166666666666666,1.0,216.9000000026491,False,52.0,male,191.68055556880108,1
DzB19GqCB7fyrlEPexogWkjFzEx2,1332.0805555648274,1151.4999999929878,1240.997222205003,1.0,1.0,1.0,180.58055557183957,True,25.0,female,91.08333335982434,0
EUhcW9kURScie1DwGPHqmNqotJB2,1207.93055554231,1077.9888888928626,1127.0666666891839,0.9907407407407407,0.9722222222222222,1.0,129.94166664944737,True,36.0,female,80.86388885312613,0
Fz7EUjZCLuUBxLDUVtN6djaBTy42,1031.599999997351,942.833333330022,976.4527777764532,1.0,1.0,1.0,88.76666666732899,True,49.0,male,55.14722222089779,1
GDZGRW51kbWtAdUIHCtEd8sAtqY2,941.1222222381168,951.019444445769,981.2194444669617,1.0,1.0,1.0,-9.897222207652135,True,26.0,female,-40.097222228844885,0
GE4hogtdLdTFbNasENgtm6SO3hC3,1297.605555554231,1100.1514285743237,1228.1388888897168,0.9719626168224299,0.9166666666666666,1.0,197.4541269799072,False,56.0,female,69.46666666451415,0
HSggdq91WiQp16bOj7V3dABkcgk2,759.9944444398085,680.3166666593817,718.5138888822662,1.0,1.0,1.0,79.67777778042682,True,44.0,male,41.48055555754229,1
HyQM2xKwwuVfqidmRYF6TiRk90C2,679.0166666685707,635.8027777771155,637.7888888911241,1.0,1.0,1.0,43.21388889145521,True,21.0,male,41.22777777744659,1
K26uNuY0VNPjJNF26wEx3bFg0kr2,793.3694444444393,709.513888888863,774.125000000013,0.9907407407407407,1.0,0.9722222222222222,83.8555555555763,True,43.0,female,19.244444444426335,0
K7ykiXe6CqQUKpEzs2nYrMTVuDA2,783.9166666666764,701.4999999999968,721.5555555555652,1.0,1.0,1.0,82.41666666667959,True,39.0,female,62.3611111111112,0
LSLmd8jENtONZFVkIpRDX665Bu73,1089.5694444510673,859.0416666666666,961.8305555515819,1.0,1.0,1.0,230.52777778440066,True,20.0,female,127.73888889948535,0
Lhv9P8ZrkDSIB7BGwooAqfu8SGF3,719.0583333290285,717.3027777754598,667.4027777777778,1.0,1.0,1.0,1.7555555535686835,True,34.0,male,51.6555555512507,1
LliUMEIsrCVZ88YFQfevan2Og4z1,632.0194444444237,529.1333333333282,584.547222222195,0.9814814814814815,0.9722222222222222,1.0,102.88611111109549,False,28.0,male,47.47222222222865,1
