Mediator,Indirect_Effect,Indirect_CI_Lower,Indirect_CI_Upper,Direct_Effect,Total_Effect,Path_a,Path_b,Significant
DASS_Anxiety,-0.1220001301478449,-0.5978464294598853,0.3034235268699357,-0.358417916294636,-0.48041804644248076,0.46970494687123465,-0.2656485413462387,No
DASS_Stress,-0.11266699827117914,-0.6319931972737262,0.3709201111926495,-0.36775104817130205,-0.48041804644248076,0.5093468533594421,-0.21481900126196915,No
DASS_Depression,-0.5047412601926672,-1.2374154302669542,0.14044541420896064,0.024323213750186125,-0.48041804644248076,0.6724243971137336,-0.7565744927759792,No
