module,parameter,param_col,dass_var,model_name,model_description,n,a_coef,b_coef,indirect_effect,a_p,b_p,method,aic,bic,cfi,rmsea
stroop_exgaussian_path,Congruent mu,congruent_mu,z_dass_dep,loneliness_to_mechanism_to_dass,Loneliness → mechanism → DASS,196,-0.989766917311093,0.0001241878840637626,-0.00012291705917717773,0.9014846834075125,0.7871115882707351,semopy,17.585776869182425,47.08880880225708,0.8285659855886967,0.17195175933547752
stroop_exgaussian_path,Congruent mu,congruent_mu,z_dass_dep,loneliness_to_dass_to_mechanism,Loneliness → DASS → mechanism,196,0.6591779873069763,6.535285408931782,4.3079162823363015,0.0,0.5556677256609819,semopy,17.58677509723325,47.0898070303079,0.8290507756761463,0.171708460113298
stroop_exgaussian_path,Congruent mu,congruent_mu,z_dass_dep,dass_to_loneliness_to_mechanism,DASS → loneliness → mechanism,196,0.69070678786416,-5.980529733879614,-4.130792482214088,0.0,0.5809418121644108,semopy,17.58677557567048,47.08980750874513,0.8290510101360484,0.17170834342061042
stroop_exgaussian_path,Congruent mu,congruent_mu,z_dass_anx,loneliness_to_mechanism_to_dass,Loneliness → mechanism → DASS,196,-0.9614204834110871,-0.00025876974645556614,0.00024878653472947486,0.9042923353880328,0.6330082179175149,semopy,17.585777514235982,47.08880944731064,0.7479992679604237,0.1719516022270194
stroop_exgaussian_path,Congruent mu,congruent_mu,z_dass_anx,loneliness_to_dass_to_mechanism,Loneliness → DASS → mechanism,196,0.48822434651182783,-10.481058671064899,-5.117108020432787,8.881784197001252e-16,0.2650999239141274,semopy,17.58762629696792,47.09065823004257,0.7493190901893086,0.17150072362146754
stroop_exgaussian_path,Congruent mu,congruent_mu,z_dass_anx,dass_to_loneliness_to_mechanism,DASS → loneliness → mechanism,196,0.5079342821096728,5.667488169096314,2.8787115345350007,8.881784197001252e-16,0.538787127782125,semopy,17.587625770077047,47.0906577031517,0.7493187183497384,0.17150085228775605
stroop_exgaussian_path,Congruent mu,congruent_mu,z_dass_str,loneliness_to_mechanism_to_dass,Loneliness → mechanism → DASS,196,-0.9915047406112545,-0.0001460522888467984,0.00014481153676872485,0.9013125980190857,0.782807208298663,semopy,17.58577657564389,47.08880850871854,0.7750867079606166,0.17195183082931856
stroop_exgaussian_path,Congruent mu,congruent_mu,z_dass_str,loneliness_to_dass_to_mechanism,Loneliness → DASS → mechanism,196,0.5543294237341161,-6.8269649318552466,-3.784387536528338,0.0,0.4781954752246531,semopy,17.58623262097982,47.08926455405447,0.7753772772733862,0.17184072118212024
stroop_exgaussian_path,Congruent mu,congruent_mu,z_dass_str,dass_to_loneliness_to_mechanism,DASS → loneliness → mechanism,196,0.5558577783751976,3.577441037099288,1.988548427150273,0.0,0.7097804096822693,semopy,17.586233315284595,47.08926524835925,0.7753777180716618,0.17184055196881967
stroop_exgaussian_path,Congruent sigma,congruent_sigma,z_dass_dep,loneliness_to_mechanism_to_dass,Loneliness → mechanism → DASS,196,1.2413768058657955,-1.428626043401994e-06,-1.7734632345350568e-06,0.7194497937641906,0.9989290104633894,semopy,17.538581451437338,47.04161338451199,0.7997491996215456,0.18308612180956144
stroop_exgaussian_path,Congruent sigma,congruent_sigma,z_dass_dep,loneliness_to_dass_to_mechanism,Loneliness → DASS → mechanism,196,0.6591679710863805,-0.09816875663531416,-0.06470970013537268,0.0,0.9836623400387658,semopy,17.53927099677413,47.04230292984878,0.8000942372415812,0.1829283226030681
stroop_exgaussian_path,Congruent sigma,congruent_sigma,z_dass_dep,dass_to_loneliness_to_mechanism,DASS → loneliness → mechanism,196,0.6907094465354473,0.9692863705478378,0.6694952525354496,0.0,0.836025532274211,semopy,17.539273957138423,47.04230589021307,0.8000957202256525,0.18292764484416954
stroop_exgaussian_path,Congruent sigma,congruent_sigma,z_dass_anx,loneliness_to_mechanism_to_dass,Loneliness → mechanism → DASS,196,1.25560850766946,-0.00044630421207988465,-0.0005603833656962182,0.7163715861069542,0.7220126886380429,semopy,17.53858383831642,47.04161577139107,0.7012868465296306,0.18308557581809007
stroop_exgaussian_path,Congruent sigma,congruent_sigma,z_dass_anx,loneliness_to_dass_to_mechanism,Loneliness → DASS → mechanism,196,0.4882251613204089,-2.4112659997482986,-1.17724073171353,8.881784197001252e-16,0.5531888740983797,semopy,17.54201951701859,47.04505145009324,0.7038513237327557,0.18229797935074832
stroop_exgaussian_path,Congruent sigma,congruent_sigma,z_dass_anx,dass_to_loneliness_to_mechanism,DASS → loneliness → mechanism,196,0.5079519141266826,1.8806883835533126,0.9552992643017217,8.881784197001252e-16,0.6370997448508371,semopy,17.5420206828126,47.04505261588725,0.7038521972054186,0.18229771152612614
stroop_exgaussian_path,Congruent sigma,congruent_sigma,z_dass_str,loneliness_to_mechanism_to_dass,Loneliness → mechanism → DASS,196,1.2476812732318587,-0.0002624025450372645,-0.0003273947414913743,0.7180857371301332,0.8305170654837619,semopy,17.53858299608329,47.041614929157944,0.7349120331278371,0.18308576847659325
stroop_exgaussian_path,Congruent sigma,congruent_sigma,z_dass_str,loneliness_to_dass_to_mechanism,Loneliness → DASS → mechanism,196,0.5543201951165034,-1.2033672512543656,-0.6670507695121304,0.0,0.7724823417397169,semopy,17.540875548894505,47.04390748196916,0.7364306226621975,0.1825606004252824
stroop_exgaussian_path,Congruent sigma,congruent_sigma,z_dass_str,dass_to_loneliness_to_mechanism,DASS → loneliness → mechanism,196,0.5558577807342439,2.714567310584088,1.508913360914996,0.0,0.5135720710940681,semopy,17.539303906506703,47.042335839581355,0.7353895635417604,0.1829207879620826
