participant_id,ucla_total,gender,age,pe_mean_rt,pe_sd_rt,pe_cv_rt,pe_iqr_rt,pe_range90_rt,n_pe,npe_mean_rt,npe_sd_rt,npe_cv_rt,correct_mean_rt,correct_sd_rt,correct_cv_rt,correct_iqr_rt,correct_range90_rt,n_correct,all_sd_rt,all_cv_rt,sd_diff_pe_correct,cv_diff_pe_correct,gender_coded,z_ucla,z_age,ucla_x_gender
ORvIk1xRWIQmKuLVe6GXNouvAXx2,54.0,female,24,2047.6000000079473,814.8189580081552,0.39793854170980303,1135.3500000238419,1899.9400000572205,15,,,,1913.6814285704068,755.2086425075278,0.3946365529981119,975.8250000178816,1872.4800000190737,70,843.9312145912276,0.417610980271227,59.610315500627394,0.0033019887116911284,-1,0.9508905396302638,1.600726058262398,-0.9508905396302638
u64Uf920g5VD9Byq26LT2rs5o4t1,34.0,male,21,1459.3857142925262,751.2389058359721,0.5147637793618899,467.7500000298023,1236.5900000274185,14,,,,1348.1044943841655,559.860016782012,0.4152942291300383,472.80000001192104,928.6600000023842,89,606.1641138226598,0.437039428309907,191.37888905396005,0.09946955023185161,1,-0.771977337051747,0.32667878740048967,-0.771977337051747
ric6cNjG25XmZJCiKZDOxzeezao1,44.0,male,19,881.9666666666874,174.89955772992133,0.19830631285753492,109.75000000034925,460.23000000021443,18,,,,1015.2039999999603,292.63444285655794,0.28825186155350985,332.75,582.8200000002051,75,507.07157133943554,0.4797189559112951,-117.73488512663661,-0.08994554869597493,1,0.08945660128925839,-0.5226860598407826,0.08945660128925839
kxerHPSL3bQjD74HhiebYf3blPr1,43.0,female,19,664.8,457.5519067476619,0.6882549740488296,669.0000000001746,897.0000000000002,20,434.76000000004655,336.19082874656266,0.7732791166310762,873.5405405405531,599.9060386887868,0.6867523724972864,426.99999999976717,1004.8000000000928,37,527.4437333972437,0.7656832868068678,-142.35413194112488,0.0015026015515432478,-1,0.0033132074551578544,-0.5226860598407826,-0.0033132074551578544
2h5FgHUEvBS1twD5DqbTIRrMm1f2,65.0,male,23,1527.8499999880792,761.077498239526,0.4981362687734164,791.0750000476837,1890.1999999761583,10,,,,1406.3000000006443,670.4444473477658,0.47674354500992583,928.2250000238416,1630.5500000119212,74,861.7734978102445,0.5555901875864561,90.63305089176015,0.02139272376349055,1,1.8984678718053696,1.176043634641762,1.8984678718053696
LliUMEIsrCVZ88YFQfevan2Og4z1,28.0,male,19,1325.7923076923291,466.4835875311499,0.3518526882563605,450.39999999990664,936.8600000000091,13,,,,1060.591025641006,563.3508046849623,0.5311668598595591,512.7999999997553,1018.1400000000605,78,554.4819002155748,0.4966380523888135,-96.86721715381242,-0.17931417160319862,1,-1.2888377000563502,-0.5226860598407826,-1.2888377000563502
EUhcW9kURScie1DwGPHqmNqotJB2,36.0,female,19,2146.030000013113,895.3699935125326,0.41722156424051,1129.8749998807907,2327.4800000190735,40,2816.939999961853,936.885834648882,0.332589914823024,1928.6763157844543,711.7597897795428,0.36904056111149336,612.25,1478.1499999761581,76,822.1369835229128,0.39751817001412865,183.61020373298982,0.04818100312901663,-1,-0.5996905493835459,-0.5226860598407826,0.5996905493835459
aj2Ivskb3BgyvBNTLIKlSZG0Sq22,54.0,female,18,829.9923076996437,147.6688607352863,0.17791593893750215,100.50000011920929,249.31999993324268,13,1113.8727272748947,221.14163377199625,0.1985340231042575,1158.1757894729312,479.40696160107046,0.4139328122367689,434.5999999642372,966.4200000524529,95,447.08733745268694,0.39981748711836157,-331.7381008657842,-0.23601687329926677,-1,0.9508905396302638,-0.9473684834614188,-0.9508905396302638
iZScIvzhvAdvlsBXU5D8IHwvG6Q2,54.0,male,19,2077.8333332935968,607.5949963110355,0.29241758064778467,837.1000000238419,1253.0800000429151,15,,,,1935.646575346385,732.7036482299723,0.37853173072096313,814.6000000238419,1650.1599999666212,73,887.2056501468059,0.4247705986857984,-125.10865191893674,-0.08611415007317846,1,0.9508905396302638,-0.5226860598407826,0.9508905396302638
wdppvL4tIkVlGjou6aYzzjlaZXB2,44.0,male,18,1384.589655172979,751.0379524102618,0.542426378533381,835.0,1294.8999999970197,29,1362.0650000004098,861.1652923771204,0.6322497769026157,1234.450000000596,926.1675253431443,0.7502673460591334,611.0249999994412,1872.7699999988085,50,860.1394071516602,0.6546288550968647,-175.12957293288252,-0.20784096752575232,1,0.08945660128925839,-0.9473684834614188,0.08945660128925839
pFlYc8DBmSXkvMIRgXFxvo3JB6j1,29.0,female,19,1158.8571428570763,480.9845443131757,0.41505076555626524,186.25000000023283,381.5000000000001,14,,,,1195.313432835807,598.5608297725931,0.5007563818240918,350.5,829.7999999999066,67,619.5562555402068,0.5099996281112072,-117.57628545941742,-0.08570561626782652,-1,-1.2026943062222497,-0.5226860598407826,1.2026943062222497
kR2rCtaPyPaj7YMizKUDn5xL2qx1,53.0,male,19,1203.5299999999581,557.0702190927041,0.462863592176949,611.3249999998952,1391.2199999999248,10,,,,1263.2342857142844,664.1081529445836,0.525720494175053,624.2249999999185,1212.5599999998462,70,700.5424280826574,0.5357176100882083,-107.03793385187953,-0.06285690199810395,1,0.8647471457961632,-0.5226860598407826,0.8647471457961632
CGyTPhevTbSvVnZ8qSP0NtWuhgw1,30.0,male,29,1315.5909090475602,509.49813242208677,0.3872770242772085,499.0499999523163,889.2999999523164,11,,,,1399.9901408276087,663.6813768915889,0.4740614648180676,602.3500001430511,1360.4000000953674,71,639.5907661786271,0.4465906585531711,-154.18324446950214,-0.0867844405408591,1,-1.1165509123881492,3.724138176365579,-1.1165509123881492
