node1,node2,mean_pcor,ci_lower,ci_upper,significant
ucla_score,dass_depression,0.5273570357283807,0.37639383059017006,0.6558513742793783,True
ucla_score,dass_anxiety,0.05708949534856826,-0.11961526065471344,0.23785663383028646,False
ucla_score,dass_stress,0.1092368954020838,-0.0727217785028915,0.28204929831671705,False
ucla_score,pe_rate,0.0013242821561041738,-0.1427494720207111,0.18019342291250182,False
ucla_score,prp_bottleneck,0.1027298751378656,-0.06518714026689912,0.26797421137754374,False
ucla_score,stroop_interference,0.06933992210426218,-0.09605544540752287,0.23481822073438421,False
ucla_score,wcst_accuracy,0.006114288934440581,-0.1758021570835193,0.2168436577632984,False
dass_depression,dass_anxiety,0.1503732657860059,-0.0522450070611439,0.3848182536400266,False
dass_depression,dass_stress,0.24941934274458613,0.04723212559553581,0.4329767301593487,True
dass_depression,pe_rate,-0.08184298734205837,-0.22024540502781442,0.06109434936093533,False
dass_depression,prp_bottleneck,-0.05483567002720935,-0.21234467004050145,0.09777213999870375,False
dass_depression,stroop_interference,-0.10539355167673951,-0.23491137499136347,0.03570326506842559,False
dass_depression,wcst_accuracy,-0.025055368804350553,-0.18024717968434964,0.10598241633586118,False
dass_anxiety,dass_stress,0.5574749625089042,0.3841984711774393,0.7003148046691554,True
dass_anxiety,pe_rate,0.0563039499718212,-0.07416377929643292,0.1935654138123666,False
dass_anxiety,prp_bottleneck,0.03750414693321481,-0.12431720477298644,0.21034727514321402,False
dass_anxiety,stroop_interference,0.08540655172975317,-0.05012509856849688,0.20632611067685852,False
dass_anxiety,wcst_accuracy,0.1442671093038967,0.026583781520721952,0.2508690894993514,True
dass_stress,pe_rate,-0.0012021601736808521,-0.18122260103019264,0.16880273771240187,False
dass_stress,prp_bottleneck,-0.03134358935141575,-0.20571338156482416,0.13663276235820665,False
dass_stress,stroop_interference,-0.03774952735018724,-0.19143811202869762,0.11288229431546307,False
dass_stress,wcst_accuracy,-0.029024484950555915,-0.18791458084619866,0.11596706395077695,False
pe_rate,prp_bottleneck,0.05835215779640526,-0.06898902295793505,0.2202482823234037,False
pe_rate,stroop_interference,0.019158927774148446,-0.14977510013885362,0.2003804360175671,False
pe_rate,wcst_accuracy,-0.5988510775409397,-0.8457342695786364,-0.2998847440044181,True
prp_bottleneck,stroop_interference,0.12784716461940165,-0.04986891017557123,0.292162860239558,False
prp_bottleneck,wcst_accuracy,-0.061174721004947495,-0.24463179917105418,0.16576251700151468,False
stroop_interference,wcst_accuracy,-0.06528598973287188,-0.22544564506763304,0.08378251369693619,False
