participant_id,prp_t2_cv_all,prp_t2_cv_short,prp_t2_cv_long,prp_cascade_rate,prp_cascade_inflation,prp_pes,prp_t2_trials,stroop_post_error_slowing,stroop_post_error_rt,stroop_post_correct_rt,stroop_incong_slope,stroop_cv_all,stroop_cv_incong,stroop_cv_cong,stroop_trials,wcst_pes,wcst_post_switch_error_rate,wcst_cv_rt,wcst_trials
06qcrpGKL6Vc3LVplFQC90VAcRm1,0.3227493500061959,0.20256598626238057,0.17295066967749453,0.0,0.0,31.272268916754115,120.0,53.239622653233596,742.8000000119209,689.5603773586873,-1.1284386970841078,0.23145847681179874,0.2137859980396471,0.25504085898842377,108,957.0024886905505,0.36,0.5386120284936368,82
0ZtXlQtAJkW6jS21vfMOtNL4OnL2,0.4934148615181696,0.3987288239482496,0.2551088080783944,0.0,0.0,381.5000000000588,120.0,7.328095238139099,689.5500000000466,682.2219047619075,-0.8844531277022499,0.36607371146735385,0.3853901398576104,0.24920293868238033,108,741.8416783216562,0.4,0.6966151389540045,77
0d841i8KPjdjwCYfDuUUXj0SEjH2,0.5163339869885977,0.42984471847707945,0.37670397284850354,0.008333333333333333,0.20000000000000018,372.84260860940685,120.0,36.43814087525391,949.5333331425985,913.0951922673446,0.04749745420681721,0.31693761532815035,0.27010246855070363,0.23475571952495974,108,1149.5974575200323,0.19999999999999998,0.7138070339353305,68
0oa5NYVnIBS9NmrmRAZrahXDctP2,0.4870005491372277,0.42528561157435135,0.2686595699543901,0.0,0.0,178.6140328666994,120.0,145.06116505021464,685.8000000007451,540.7388349505304,0.6079421358122332,0.2605480839688903,0.29927453646085306,0.2548539231328533,108,737.9312903192736,0.31999999999999995,1.357729811448622,73
146QT9LupyU2BAiTsB3PMIpVXM22,0.5595241843036224,0.4478200198058764,0.3997489271880108,0.008403361344537815,0.16666666666666652,733.0932153425781,119.0,350.8943396133353,1130.8999999910593,780.005660377724,-1.162585840841824,0.30209797150964696,0.28792872395998836,0.26352771090101773,108,298.4701492522486,0.31999999999999995,0.3991554371094512,77
1Vb7DcXYw9R86bw5qj9eBk9fPqA2,0.38841630822519857,0.24851603229407393,0.5063247935058389,0.0,0.0,328.5921739150649,120.0,471.05471699614577,1635.2000000178814,1164.1452830217356,-3.20604005611429,0.3751787323555192,0.3886320507505717,0.3101467016058649,108,3135.326930320756,0.31999999999999995,0.8400056804702442,69
1dpmVw8fpcc2IHs0s9WqdU8Yvi53,0.34890292159377817,0.2664911407884794,0.36188339482833015,0.0,,,120.0,3.031132079520262,950.5,947.4688679204797,-2.3350335281231156,0.28466621947477416,0.29582079306948045,0.20153172616955706,108,1598.351639322961,0.27999999999999997,0.8686335278157722,72
1tT7dcLvf0bMGBdBWWYd8YkdJwr1,0.3972953320386358,0.26225493035912095,0.5100740904379676,0.0,,,119.0,44.50095241183328,950.1000000238419,905.5990476120086,2.1313313904053577,0.4189524713558782,0.3826101490393938,0.44013963608733786,108,566.9662337671627,0.23999999999999994,1.845680560176352,88
1upUBO9zBnhHcpJ1WoAnaBXWKRV2,0.44621875550723505,0.3198532870331075,0.5860234912619421,0.016666666666666666,0.13333333333333333,36.46571428946095,120.0,130.0981131842674,1054.899999976158,924.8018867918905,0.4595655549330364,0.3360517366694788,0.3457602036137201,0.3388436252204115,108,-78.11995037678753,0.7333333333333334,0.554493926851749,128
23AEyocWhqY955WHbxhHRSgQ1ms2,0.5686245282094724,0.46446279523255496,0.7554630827827872,0.4576271186440678,0.9818181818181818,-108.00167388166017,118.0,-78.70849056717645,712.3999999985099,791.1084905656863,-1.1174328861687302,0.2314700848713029,0.2961595756713161,0.16322755182171628,108,844.5909090903072,0.52,1.6965810616944723,85
