participant_id,n_trials,changepoint_rt_trial,changepoint_pe_trial,rt_early,rt_late,rt_change_ms,rt_pct_change,pe_early,pe_late,pe_change,ucla_total,gender,gender_male,cp_rt_pct,cp_pe_pct
i1tBstVkNiVP0qro7TgGD08IGGa2,80,41.0,14,2265.400000021571,1762.1000000085587,-503.3000000130123,-22.216827050773368,0.0,12.121212121212121,12.121212121212121,26.0,female,0,51.24999999999999,17.5
iKVZi0Oo96UrMBhPQMHWFcf55uA3,68,38.0,32,1876.6153846154025,1488.0999999999844,-388.51538461541804,-20.702984095754985,3.0303030303030303,8.333333333333332,5.303030303030302,33.0,male,1,55.88235294117647,47.05882352941176
iWsc4pghIEWOQUZKuQJMfe516UI3,80,9.0,19,3966.440000003576,996.5802816874544,-2969.859718316122,-74.87469162053237,0.0,9.836065573770492,9.836065573770492,27.0,male,1,11.25,23.75
iZScIvzhvAdvlsBXU5D8IHwvG6Q2,126,76.0,36,5508.792207787564,1916.6119999980926,-3592.180207789471,-65.2081267961305,8.108108108108109,18.88888888888889,10.78078078078078,54.0,male,1,60.317460317460316,28.57142857142857
iv9ew8Ci8lOzvXFiJw1acJfuRAl2,79,,13,,,,,7.142857142857142,12.121212121212121,4.978354978354979,23.0,female,0,,16.455696202531644
jpklrtZKDdb3UbsoQ7Ho5KuR5yb2,64,33.0,21,2732.252941177172,1940.9838709619737,-791.2690702151983,-28.960315433837014,0.0,4.651162790697675,4.651162790697675,41.0,female,0,51.5625,32.8125
jzdk8E3tVXTXIozlfK5oeEb7wWp2,78,30.0,54,1506.5774193617606,1193.6104166756074,-312.96700268615314,-20.773376705641653,9.090909090909092,16.666666666666664,7.575757575757573,37.0,male,1,38.46153846153847,69.23076923076923
kR2rCtaPyPaj7YMizKUDn5xL2qx1,84,42.0,13,1613.4372093023321,1204.9023809523676,-408.5348283499645,-25.320776414138823,7.142857142857142,14.084507042253522,6.9416498993963796,53.0,male,1,50.0,15.476190476190476
lHDkoPQu5reNCO45npeYSS9eLQl1,109,20.0,30,3042.357142902556,1377.6258427266325,-1664.7313001759235,-54.71847064568131,3.225806451612903,20.253164556962027,17.027358105349123,36.0,female,0,18.34862385321101,27.522935779816514
lpzDdvuMkKWkPxu6xeclmdctEp42,84,27.0,13,2080.33214285544,1241.2052631670967,-839.1268796883433,-40.33619739858306,7.142857142857142,12.676056338028168,5.533199195171026,52.0,female,0,32.142857142857146,15.476190476190476
mUZzgdWKnPb2txOkJg9FHgqX5792,107,,26,,,,,3.7037037037037033,19.753086419753085,16.049382716049383,33.0,female,0,,24.299065420560748
mg2WZiRBn4NQDKiMK43Y8dBqyG53,126,9.0,33,4254.500000000046,967.3760683760763,-3287.12393162397,-77.2622853830987,0.0,12.903225806451612,12.903225806451612,54.0,female,0,7.142857142857142,26.190476190476193
mwsliuPsLFhRFjtjQwYkqcCRDvi2,72,29.0,13,1795.5866666634877,1196.7604651118434,-598.8262015516443,-33.34989130122956,0.0,11.864406779661017,11.864406779661017,49.0,male,1,40.27777777777778,18.055555555555554
nT1qJOiMyDdJ9ui4el195A8Hsgs1,79,,10,,,,,0.0,10.144927536231885,10.144927536231885,62.0,female,0,,12.658227848101266
pFlYc8DBmSXkvMIRgXFxvo3JB6j1,85,,67,,,,,11.76470588235294,38.88888888888889,27.12418300653595,29.0,female,0,,78.82352941176471
pcbRW89vVJcviD87V3uxyG4I9st2,71,,31,,,,,6.25,0.0,-6.25,33.0,male,1,,43.66197183098591
q0Atnpm0jZS5swcVmq0EMalQUKw1,71,5.0,13,3321.8333333333335,1388.1666666666738,-1933.6666666666597,-58.21082735437238,0.0,8.620689655172415,8.620689655172415,24.0,female,0,7.042253521126761,18.30985915492958
qsRKc69hK6e8Uu6vr2pBO8NbpMt2,79,,11,,,,,0.0,10.294117647058822,10.294117647058822,40.0,male,1,,13.924050632911392
rUuJv5gl7dWVo7UPQWMx4bohxhK2,89,13.0,61,3086.9714285714517,1832.7276315789327,-1254.243796992519,-40.63023665797068,9.67741935483871,14.285714285714285,4.608294930875575,43.0,female,0,14.606741573033707,68.53932584269663
roaf78tUWxWSEjAUcUu8O7mrQbl1,78,37.0,12,2484.7999999993726,1740.2829268269422,-744.5170731724304,-29.962857098060947,7.6923076923076925,13.636363636363635,5.944055944055942,58.0,female,0,47.43589743589743,15.384615384615385
ssPK6ISW0HerTGke9hznqJ2LpKu1,83,,14,,,,,0.0,11.594202898550725,11.594202898550725,41.0,male,1,,16.867469879518072
tPxs1KmmX0ZKjHS9Nr63xoOPCRr2,69,,9,,,,,0.0,8.333333333333332,8.333333333333332,65.0,female,0,,13.043478260869565
u64Uf920g5VD9Byq26LT2rs5o4t1,107,,57,,,,,17.24137931034483,8.0,-9.24137931034483,34.0,male,1,,53.271028037383175
v8nNKiWvPdcjiHXZci39OuFTY6M2,76,,50,,,,,9.803921568627452,19.230769230769234,9.426847662141782,31.0,female,0,,65.78947368421053
wdppvL4tIkVlGjou6aYzzjlaZXB2,128,94.0,45,1555.9526315793787,519.5794117656701,-1036.3732198137086,-66.60699039158615,17.391304347826086,26.506024096385545,9.114719748559459,44.0,male,1,73.4375,35.15625
xBGZhFOeypWnqzSQClkrwV9z2vF3,78,,12,,,,,7.6923076923076925,12.121212121212121,4.428904428904429,43.0,male,1,,15.384615384615385
xyAILKfYP2M8GqAai11x6NT7IcP2,81,2.0,12,6118.766666666605,1358.9278481011927,-4759.838818565412,-77.79082089362444,0.0,11.594202898550725,11.594202898550725,35.0,male,1,2.4691358024691357,14.814814814814813
y1EHXv8tUTa4BRS4fRio7bULYfA2,101,,30,,,,,6.451612903225806,19.718309859154928,13.266696955929122,35.0,female,0,,29.7029702970297
yatBVTBMCSMp0wJluOCLzTFKMyP2,91,11.0,21,3276.8333333333335,1516.7750000001863,-1760.0583333331472,-53.712171303590274,4.545454545454546,14.285714285714285,9.740259740259738,35.0,female,0,12.087912087912088,23.076923076923077
