stratum,gender,n,stroop_r,stroop_p,prp_r,prp_p
Low Anxiety,male,15,0.11601236032853807,0.6805379586748811,0.17007728407822995,0.5445128559916732
Low Anxiety,female,24,-0.0017254197238823384,0.9936157721094041,-0.14151469423831198,0.5095105855337099
High Anxiety,male,12,-0.05288531393309006,0.8703366660077663,0.46452895232246966,0.1281448989078313
High Anxiety,female,21,0.18730583886366692,0.4162081210948515,0.011938040674177704,0.9590397311637849
