node,community
UCLA,1
DASS_Dep,1
DASS_Anx,1
DASS_Str,1
WCST_PE,0
PRP_RT,0
Stroop_Int,0
PRP_tau,0
PRP_RMSSD,0
WCST_tau,0
Stroop_tau,0
