node,bridge_strength,community
DASS_Str,0.12811441517897432,Mood
PRP_tau,0.0772584681432649,EF
DASS_Anx,0.0772584681432649,Mood
WCST_tau,0.0739306137210831,EF
WCST_PE,0.0541838014578912,EF
DASS_Dep,0.0,Mood
UCLA,0.0,Mood
Stroop_Int,0.0,EF
PRP_RT,0.0,EF
PRP_RMSSD,0.0,EF
Stroop_tau,0.0,EF
