node1,node2,partial_corr,abs_weight
PRP_RT,PRP_RMSSD,0.5486008149293332,0.5486008149293332
UCLA,DASS_Dep,0.501541917196036,0.501541917196036
DASS_Anx,DASS_Str,0.45364805544188375,0.45364805544188375
Stroop_Int,Stroop_tau,0.41307860111949224,0.41307860111949224
PRP_tau,WCST_tau,0.3015300104934049,0.3015300104934049
PRP_RT,PRP_tau,0.26267726653573353,0.26267726653573353
UCLA,DASS_Anx,0.20796523752508758,0.20796523752508758
Stroop_Int,WCST_tau,0.17755223487492094,0.17755223487492094
Stroop_Int,PRP_RMSSD,0.16068957184000507,0.16068957184000507
DASS_Dep,DASS_Str,0.15924155459560696,0.15924155459560696
UCLA,DASS_Str,0.14095019009379828,0.14095019009379828
PRP_tau,PRP_RMSSD,0.14055090118869373,0.14055090118869373
DASS_Dep,DASS_Anx,0.1338544046931927,0.1338544046931927
DASS_Anx,PRP_tau,0.07725846814326491,0.07725846814326491
DASS_Str,WCST_tau,0.07393061372108316,0.07393061372108316
PRP_RT,WCST_tau,0.07371622097076096,0.07371622097076096
PRP_tau,Stroop_tau,-0.05964183626684918,0.05964183626684918
PRP_RMSSD,Stroop_tau,0.057182370483382206,0.057182370483382206
DASS_Str,WCST_PE,-0.05418380145789122,0.05418380145789122
