node1,node2,r_male,r_female,z_diff,p_diff
PRP_tau,WCST_tau,0.45519506071182986,0.12117247047015182,1.4906998111174927,0.13604032571078317
Stroop_Int,WCST_tau,0.0,0.23596493616281122,-0.9703505206604648,0.3318718029472114
UCLA,DASS_Anx,0.062292946947673476,0.29003871468706166,-0.953154436503591,0.3405118281549546
DASS_Str,PRP_RT,0.20315737313931184,-0.0,0.8312591802319961,0.4058272291317784
PRP_tau,PRP_RMSSD,0.0,0.19582809381142433,-0.8004613523100002,0.42344354676383666
DASS_Dep,DASS_Str,0.24428490049621712,0.05467521497052894,0.7851515892903742,0.43236469532073674
DASS_Anx,DASS_Str,0.4846363015256112,0.3388754902312647,0.7109457227239431,0.477117871002815
PRP_RT,WCST_tau,0.0,0.15061214003022436,-0.612344634440569,0.5403097644472925
UCLA,PRP_tau,0.14586903885964964,-0.0,0.5927772483469068,0.553330235922501
UCLA,PRP_RMSSD,0.12272375466203844,-0.020057603945763464,0.5786101658320666,0.562852243769828
UCLA,DASS_Dep,0.384301741168937,0.48812228821470727,-0.5184494879560572,0.6041446941136783
WCST_PE,WCST_tau,0.12151538540773654,0.0,0.4927220764413818,0.622208976608768
PRP_RT,PRP_tau,0.2540464039358146,0.15396106457755174,0.42178936870996897,0.6731787662713877
DASS_Anx,WCST_tau,-0.0,0.09119297500503294,-0.3689682411915086,0.7121513970386597
UCLA,WCST_PE,0.0,-0.07076408982359254,0.2859952203372133,0.7748817823528724
UCLA,DASS_Str,0.17407247832284004,0.11719184662649736,0.23454367804038137,0.8145629284807843
UCLA,WCST_tau,0.05309534949151607,-0.0,0.21442945717694661,0.83021217234494
Stroop_Int,Stroop_tau,0.4078448859802912,0.366107645950565,0.1981176706586565,0.8429529996658212
PRP_RT,PRP_RMSSD,0.4099423065630991,0.37169226814018247,0.1821969850370665,0.8554281389871179
DASS_Dep,DASS_Anx,0.127679859155318,0.0939592354807158,0.13776067892163965,0.8904295616601381
Stroop_Int,PRP_RMSSD,0.09021048998715313,0.0690919489600157,0.08575589912398106,0.931660464674001
PRP_RMSSD,Stroop_tau,0.13224310125693978,0.12580471195142937,0.026417325276648803,0.9789244753997794
