Variable,r,p,N,Sig
wcst_max_chain,-0.11087462744668433,0.33384787692819756,78,
wcst_cascade_prop,-0.23375346548188808,0.03942211888083039,78,*
stroop_max_chain,-0.06200560064918676,0.5729297170412812,85,
stroop_cascade_prop,0.012429219492309072,0.9101103168517402,85,
prp_max_chain,0.09886078821905889,0.37688710244455276,82,
prp_cascade_prop,0.1459560686924281,0.19073186095013314,82,
