,UCLA,DASS-Dep,DASS-Anx,DASS-Str,PRP Delay
UCLA,1.0,0.6766083461206674,0.49680659483401723,0.5496994459786769,0.09599481968629825
DASS-Dep,0.6766083461206674,1.0,0.661896177638935,0.6708333252554601,0.010442540202770734
DASS-Anx,0.49680659483401723,0.661896177638935,1.0,0.7408264519523017,0.026665061004920027
DASS-Str,0.5496994459786769,0.6708333252554601,0.7408264519523017,1.0,0.0013454056317677276
PRP Delay,0.09599481968629825,0.010442540202770734,0.026665061004920027,0.0013454056317677276,1.0
