Variable,Column,N,r,CI_Lower,CI_Upper,p,Significant
DASS-Dep,dass_depression,210,0.6766083461206674,0.5957950218672463,0.7438579294783842,1.829438414958317e-29,True
DASS-Anx,dass_anxiety,210,0.49680659483401723,0.3874769876157817,0.5923552537646909,1.7288834444011114e-14,True
DASS-Str,dass_stress,210,0.5496994459786769,0.44762091995881026,0.6376360225512107,5.5924775966877e-18,True
PRP Delay,prp_bottleneck,209,0.16818555645958488,0.03322690641118658,0.2971206595541755,0.014924205569910979,True
