,UCLA,DASS-Dep,DASS-Anx,DASS-Str,PRP Delay
UCLA,0.0,1.829438414958317e-29,1.7288834444011114e-14,5.5924775966877e-18,0.014924205569910979
DASS-Dep,1.829438414958317e-29,0.0,7.638285263517466e-28,8.120346286709385e-29,0.2370377516239769
DASS-Anx,1.7288834444011114e-14,7.638285263517466e-28,0.0,8.375017120357029e-38,0.11464607309122862
DASS-Str,5.5924775966877e-18,8.120346286709385e-29,8.375017120357029e-38,0.0,0.08576589973570833
PRP Delay,0.014924205569910979,0.2370377516239769,0.11464607309122862,0.08576589973570833,0.0
