model,model_path,path,exog_to_med,male_mean,male_se,male_ci_lower,male_ci_upper,female_mean,female_se,female_ci_lower,female_ci_upper,diff,se_diff,z_stat,p_value
Model1_CLD,C → L → D,a-path,ef_composite → z_ucla,0.21783006081870926,0.1845087714379363,-0.15183860130955673,0.5740415732848824,-0.1813745697649191,0.12245502592294823,-0.42880079673013344,0.05217984833943988,0.3992046305836284,0.22144687875724628,1.8027105770194354,0.07143368019910512
Model1_CLD,C → L → D,b-path,z_ucla → z_dass_dep,0.6177924078836139,0.08536550852386031,0.44169037185323684,0.7703973061677915,0.6640915104122226,0.09200922208929731,0.48840191527140087,0.8425090147326517,-0.04629910252860869,0.12551082421454696,-0.36888533573379667,0.7122131941149636
Model1_CLD,C → L → D,indirect,a × b,0.13377588113171862,0.11614581636965446,-0.09351564413319147,0.3685931254359522,-0.12276796577093506,0.08718599941524459,-0.3089271194856364,0.03365574229922398,0.2565438469026537,0.14522826568615535,1.766487024344532,0.07731417658333117
Model2_CDL,C → D → L,a-path,ef_composite → z_dass_dep,-0.030899474083627268,0.1409447005048734,-0.32558799198985827,0.23025209670271704,-0.2986964455935128,0.14301894485789524,-0.5897067333699385,-0.03329975871480242,0.2677969715098856,0.2007979760572156,1.333663699048337,0.18231409670610121
Model2_CDL,C → D → L,b-path,z_dass_dep → z_ucla,0.785369598790645,0.10231312053424461,0.5799483228730625,0.9725113801750168,0.5812926322332924,0.07058600956630548,0.44481359769899853,0.7237132986376353,0.20407696655735263,0.12429947457632086,1.6418168077777977,0.10062797471609763
Model2_CDL,C → D → L,indirect,a × b,-0.02002390604949306,0.10956606660030271,-0.23534634978017835,0.19537783908181452,-0.17130779480231445,0.0812206607528744,-0.34202018226363123,-0.019584587594745975,0.1512838887528214,0.13638738461967617,1.1092220088733644,0.2673344203249157
Model3_LDC,L → D → C,a-path,z_ucla → z_dass_dep,0.6188484114386067,0.0858669803355253,0.4441758806401212,0.7818605839573731,0.6606661903377595,0.09354053419209767,0.4770486399505087,0.8368046140589738,-0.041817778899152835,0.12697625702817233,-0.32933541969090085,0.7419021749310102
Model3_LDC,L → D → C,b-path,z_dass_dep → ef_composite,-0.009618534370843418,0.05534997613698641,-0.11600992196143288,0.1042169112988769,-0.10997026311717698,0.04370454211740755,-0.19201328989061361,-0.017713945285450453,0.10035172874633355,0.0705245124765653,1.4229340299187405,0.15475528017359252
Model3_LDC,L → D → C,indirect,a × b,-0.005799197408889601,0.03327680219183092,-0.06893027844605025,0.06065265002202605,-0.07354876530090998,0.03186305742206896,-0.13813026111831594,-0.010742615357334269,0.06774956789202038,0.04607168319473804,1.4705251294087347,0.14141958485678763
Model4_LCD,L → C → D,a-path,z_ucla → ef_composite,0.06867026139830648,0.059451552429993615,-0.04252809067784562,0.18905191986691763,-0.07579817550759937,0.05042214474004399,-0.17089630527154945,0.026485430719290593,0.14446843690590586,0.07795434411578502,1.8532442103717524,0.06384736355922738
Model4_LCD,L → C → D,b-path,ef_composite → z_dass_dep,-0.033579952525032195,0.14253718546924748,-0.3368494375605509,0.23760822423098257,-0.30306515905250436,0.14178601071614927,-0.5925153037743359,-0.04425632648965229,0.26948520652747215,0.20104756172680796,1.3404052464643177,0.18011363097530442
Model4_LCD,L → C → D,indirect,a × b,0.0027218174090653064,0.012737260821387326,-0.01709791149273545,0.03651429592969934,0.02579375338740838,0.022577468207654574,-0.0036781270297025033,0.08059400277882273,-0.02307193597834307,0.025922574793019723,-0.8900325744090725,0.37344839534246277
