model,path,description,indirect_point,indirect_se,ci_lower_95,ci_upper_95,significant_95,n_valid_boots
Model1_CLD,C → L → D,인지기능 → 외로움 → 우울,-0.03393413141607232,0.06582420619807505,-0.16904765064776373,0.09140906234488319,False,5000
Model2_CDL,C → D → L,인지기능 → 우울 → 외로움,-0.1323763070167227,0.06504869580301778,-0.26476110672188535,-0.009270763318247931,True,5000
Model3_LDC,L → D → C,외로움 → 우울 → 인지기능,-0.05112579514947517,0.023986147915115837,-0.09851808095710655,-0.005106294653373525,True,5000
Model4_LCD,L → C → D,외로움 → 인지기능 → 우울,0.006219425647517498,0.010147316345400647,-0.00788409401675631,0.03153398639270131,False,5000
