Parameter,Gender,N,r,p,Significant
mu,Female,45,-0.07496757255720603,0.6245331679923646,No
mu,Male,27,0.15805263215496584,0.4310639059431946,No
sigma,Female,45,-0.16152421056135507,0.2891325478443598,No
sigma,Male,27,0.04065276099013929,0.8404441938452942,No
tau,Female,45,0.01650128876492188,0.9143238639831716,No
tau,Male,27,0.34345589168189683,0.0794294544545058,No
mu_post_error,Female,14,0.35792803497746734,0.20892574927756152,No
sigma_post_error,Female,14,0.4872456323169387,0.07720152636102094,No
tau_post_error,Female,14,-0.6615168402577695,0.009978471761233124,Yes
mu_post_correct,Female,45,-0.10241043438028449,0.5032266411392446,No
mu_post_correct,Male,27,0.13557954575524156,0.5001331262023397,No
sigma_post_correct,Female,45,-0.22822077411109784,0.13159324549417004,No
sigma_post_correct,Male,27,-0.026429638872907942,0.895888763319805,No
tau_post_correct,Female,45,0.20496577671704905,0.1768072270010237,No
tau_post_correct,Male,27,0.4144466567356083,0.031606795569320216,Yes
