phase,n,r,spearman_brown
exploration,183,0.18619968440222143,0.31394323713052696
confirmation,210,0.5320662477623777,0.6945734214032508
exploitation,209,0.6925600054072549,0.8183579940382849
pre_exploitation,210,0.5416631274866046,0.7026997245107441
