n_segments,n,ucla_beta,ucla_p,r2,adj_r2
2,212,40.13976244442318,0.0015882275153270508,0.060471383723313954,0.032972985198142624
3,212,28.405917650750563,0.0006777992342764162,0.06922297187571902,0.04198071739403275
6,212,14.738906765131269,0.00010580214894404132,0.09093350488675311,0.06432668063953606
