participant_id,exploration,confirmation,exploitation,confirm_minus_exploit
06qcrpGKL6Vc3LVplFQC90VAcRm1,950.3624999988824,1342.9321428574622,915.9950793630311,426.9370634944311
0ZtXlQtAJkW6jS21vfMOtNL4OnL2,1967.6625000000058,1743.022916666654,1047.9974025974268,695.0255140692273
0d841i8KPjdjwCYfDuUUXj0SEjH2,1643.4666666984558,2672.1999999682107,1294.183333374205,1378.0166665940058
0oa5NYVnIBS9NmrmRAZrahXDctP2,1227.5874999985099,998.3344444443783,779.4190476196153,218.91539682476298
146QT9LupyU2BAiTsB3PMIpVXM22,1055.3666666646798,1326.7964285714759,1026.0458333339423,300.7505952375336
1Vb7DcXYw9R86bw5qj9eBk9fPqA2,2255.419999996821,2704.5777777814205,1542.6761904742036,1161.901587307217
1dpmVw8fpcc2IHs0s9WqdU8Yvi53,2062.8700000047684,2050.405555548176,1483.490476202397,566.9150793457788
1fbLQPCcysVlSKup96K4yI5NX6G3,2330.43541666617,1753.7698412558864,1172.3454212572549,581.4244199986315
1tT7dcLvf0bMGBdBWWYd8YkdJwr1,1411.4000000953674,1860.946388897962,1397.269841263337,463.67654763462497
1upUBO9zBnhHcpJ1WoAnaBXWKRV2,1778.1355555680063,2085.0666666641123,1590.4893162384428,494.57735042566947
23AEyocWhqY955WHbxhHRSgQ1ms2,1773.9833333343267,1638.1207936502522,1172.4047619049393,465.7160317453129
23hG7h2ByUZDbmOMTDtp0HT0xRb2,2430.5,2485.2159999338787,1526.4555018237747,958.760498110104
28nQWMwCaSNFBEXlicY3eHqpwKU2,1326.1199999570847,1854.7311110920375,1587.4980618344214,267.23304925761613
2FHuv7L9nWPdbIiWHRIuXtcoyw83,1602.2666666665734,1520.0873015872887,1159.9761904761906,360.1111111110981
2h5FgHUEvBS1twD5DqbTIRrMm1f2,1446.769999986887,2821.348888887631,1381.7809523850208,1439.56793650261
2zDXvJKvjeejeOSNbtDbtSI5cdz1,1674.637500000419,1953.7627777781129,1482.4380952380154,471.32468254009746
