segment,cond,count,prop
1.0,congruent,3781,0.3302760307477289
1.0,incongruent,3815,0.3332459818308875
1.0,neutral,3852,0.33647798742138363
2.0,congruent,3851,0.3363906359189378
2.0,incongruent,3817,0.3334206848357792
2.0,neutral,3780,0.330188679245283
