,UCLA,DASS-Dep,DASS-Anx,DASS-Str,Stroop Interference RT,WCST PE Rate,Stroop Interference RT Slope,WCST Confirmation RT,WCST Exploitation RT,WCST Confirm - Exploit RT,WCST Confirmation RT (all trials),WCST Exploitation RT (all trials),WCST Confirm - Exploit RT (all trials)
UCLA,"[1.00, 1.00]","[0.580, 0.732]","[0.388, 0.592]","[0.448, 0.637]","[-0.122, 0.148]","[-0.244, 0.023]","[0.122, 0.374]","[0.027, 0.290]","[-0.036, 0.230]","[-0.013, 0.252]","[0.011, 0.275]","[-0.043, 0.224]","[-0.030, 0.237]"
DASS-Dep,"[0.580, 0.732]","[1.00, 1.00]","[0.575, 0.729]","[0.585, 0.736]","[-0.165, 0.104]","[-0.276, -0.012]","[-0.047, 0.221]","[-0.121, 0.148]","[-0.054, 0.214]","[-0.191, 0.078]","[-0.116, 0.153]","[-0.065, 0.203]","[-0.174, 0.095]"
DASS-Anx,"[0.388, 0.592]","[0.575, 0.729]","[1.00, 1.00]","[0.686, 0.805]","[-0.123, 0.147]","[-0.260, 0.005]","[0.002, 0.266]","[-0.165, 0.104]","[-0.131, 0.139]","[-0.178, 0.090]","[-0.167, 0.102]","[-0.143, 0.127]","[-0.170, 0.099]"
DASS-Str,"[0.448, 0.637]","[0.585, 0.736]","[0.686, 0.805]","[1.00, 1.00]","[-0.120, 0.150]","[-0.266, -0.001]","[-0.001, 0.264]","[-0.168, 0.101]","[-0.162, 0.107]","[-0.154, 0.116]","[-0.161, 0.108]","[-0.173, 0.096]","[-0.134, 0.136]"
Stroop Interference RT,"[-0.122, 0.148]","[-0.165, 0.104]","[-0.123, 0.147]","[-0.120, 0.150]","[1.00, 1.00]","[-0.069, 0.199]","[-0.070, 0.198]","[0.044, 0.305]","[0.002, 0.266]","[-0.027, 0.239]","[0.028, 0.290]","[0.000, 0.265]","[-0.048, 0.219]"
WCST PE Rate,"[-0.244, 0.023]","[-0.276, -0.012]","[-0.260, 0.005]","[-0.266, -0.001]","[-0.069, 0.199]","[1.00, 1.00]","[-0.127, 0.142]","[-0.265, -0.001]","[-0.014, 0.252]","[-0.412, -0.165]","[-0.287, -0.024]","[-0.009, 0.257]","[-0.442, -0.201]"
Stroop Interference RT Slope,"[0.122, 0.374]","[-0.047, 0.221]","[0.002, 0.266]","[-0.001, 0.264]","[-0.070, 0.198]","[-0.127, 0.142]","[1.00, 1.00]","[-0.048, 0.219]","[-0.106, 0.163]","[-0.047, 0.220]","[-0.077, 0.191]","[-0.105, 0.164]","[-0.087, 0.182]"
WCST Confirmation RT,"[0.027, 0.290]","[-0.121, 0.148]","[-0.165, 0.104]","[-0.168, 0.101]","[0.044, 0.305]","[-0.265, -0.001]","[-0.048, 0.219]","[1.00, 1.00]","[0.576, 0.730]","[0.636, 0.771]","[0.968, 0.981]","[0.575, 0.729]","[0.587, 0.737]"
WCST Exploitation RT,"[-0.036, 0.230]","[-0.054, 0.214]","[-0.131, 0.139]","[-0.162, 0.107]","[0.002, 0.266]","[-0.014, 0.252]","[-0.106, 0.163]","[0.576, 0.730]","[1.00, 1.00]","[-0.193, 0.075]","[0.574, 0.728]","[0.977, 0.986]","[-0.186, 0.083]"
WCST Confirm - Exploit RT,"[-0.013, 0.252]","[-0.191, 0.078]","[-0.178, 0.090]","[-0.154, 0.116]","[-0.027, 0.239]","[-0.412, -0.165]","[-0.047, 0.220]","[0.636, 0.771]","[-0.193, 0.075]","[1.00, 1.00]","[0.600, 0.746]","[-0.178, 0.091]","[0.919, 0.952]"
WCST Confirmation RT (all trials),"[0.011, 0.275]","[-0.116, 0.153]","[-0.167, 0.102]","[-0.161, 0.108]","[0.028, 0.290]","[-0.287, -0.024]","[-0.077, 0.191]","[0.968, 0.981]","[0.574, 0.728]","[0.600, 0.746]","[1.00, 1.00]","[0.569, 0.724]","[0.631, 0.768]"
WCST Exploitation RT (all trials),"[-0.043, 0.224]","[-0.065, 0.203]","[-0.143, 0.127]","[-0.173, 0.096]","[0.000, 0.265]","[-0.009, 0.257]","[-0.105, 0.164]","[0.575, 0.729]","[0.977, 0.986]","[-0.178, 0.091]","[0.569, 0.724]","[1.00, 1.00]","[-0.208, 0.060]"
WCST Confirm - Exploit RT (all trials),"[-0.030, 0.237]","[-0.174, 0.095]","[-0.170, 0.099]","[-0.134, 0.136]","[-0.048, 0.219]","[-0.442, -0.201]","[-0.087, 0.182]","[0.587, 0.737]","[-0.186, 0.083]","[0.919, 0.952]","[0.631, 0.768]","[-0.208, 0.060]","[1.00, 1.00]"
