outcome_column,n,ucla_beta,ucla_se,ucla_t,ucla_p,r2,adj_r2,cov_type,outcome
confirmation,212,136.69584217006394,46.92139960359262,2.913294218094841,0.003973022401468953,0.0678976909352802,0.040616647743142,OLS,confirmation
exploitation,212,25.172516750011184,32.40372610046044,0.7768401902907548,0.4381485111897252,0.08603844826851847,0.05928835407149946,OLS,exploitation
confirm_minus_exploit,212,111.52332542005277,33.76590686965976,3.3028381512318177,0.0011292766696121561,0.06033913630936405,0.032836867128174685,OLS,confirm_minus_exploit
