phase,n,r,spearman_brown
exploration,183,0.18619968440222143,0.31394323713052696
confirmation,210,0.6098304795196967,0.7576331635883097
exploitation,209,0.6710497840100543,0.8031475667944754
pre_exploitation,210,0.6454922517512115,0.7845582391096012
