phase,n,r,spearman_brown
exploration,183,0.18619968440222143,0.31394323713052696
confirmation,210,0.5954527759500676,0.7464373561235426
exploitation,209,0.7484181611594717,0.8561088849170437
pre_exploitation,210,0.6472116524248047,0.7858269475838958
