outcome,outcome_column,n,model0_r2,model1_r2,model2_r2,delta_r2_ucla_first,delta_r2_dass_after_ucla,p_ucla_first,p_dass_after_ucla
Stroop Interference RT,stroop_interference,212,0.011107502067758013,0.011123728775192188,0.01687845038676361,1.622670743417487e-05,0.005754721611571423,0.9534686355412837,0.7531520339792379
WCST Perseverative Error Rate (%),wcst_perseverative_error_rate,212,0.002070308000164056,0.017196471968802807,0.029275968637669125,0.01512616396863875,0.012079496668866319,0.07503506875950008,0.46785520166346617
Stroop Interference RT Slope,stroop_interference_slope,212,0.008586550569051887,0.08360019032724952,0.09972112349527407,0.07501363975819764,0.016120933168024543,5.332220775359162e-05,0.30216451472524775
"WCST Confirmation RT (ms, all trials)",wcst_confirmation_rt_all,212,0.02008643614157024,0.034665836427768215,0.05521090588284483,0.014579400286197974,0.020545069455076614,0.07779135685128558,0.21946458208345782
"WCST Exploitation RT (ms, all trials)",wcst_exploitation_rt_all,212,0.057672804458706706,0.060199557089785305,0.07653501118976602,0.0025267526310785993,0.016335454099980717,0.45541531290422066,0.30760399490420975
"WCST Confirmation - Exploitation RT (ms, all trials)",wcst_confirmation_minus_exploitation_rt_all,212,0.005849410193929594,0.018397203108903915,0.04010446427336012,0.01254779291497432,0.021707261164456204,0.10448802265884526,0.20393659590519617
