participant_id,prp_engaged_mean,prp_lapse_mean,prp_engaged_sd,prp_engaged_prob,prp_lapse_prob,prp_state_separation,prp_bic,prp_bic_single,prp_bic_diff,stroop_engaged_mean,stroop_lapse_mean,stroop_engaged_sd,stroop_engaged_prob,stroop_lapse_prob,stroop_state_separation,stroop_bic,stroop_bic_single,stroop_bic_diff,wcst_engaged_mean,wcst_lapse_mean,wcst_engaged_sd,wcst_engaged_prob,wcst_lapse_prob,wcst_state_separation,wcst_bic,wcst_bic_single,wcst_bic_diff
iZScIvzhvAdvlsBXU5D8IHwvG6Q2,718.4673651842774,1229.189165761461,144.0781174313989,0.4328252055696659,0.567174794430334,510.72180057718367,1712.68075793261,1716.6448482027413,3.964090270131237,1159.6981991738191,1771.5090062199922,302.29265545396015,0.6231895484153165,0.37681045158468357,611.8108070461731,1614.205139517704,1603.9705735002362,-10.234566017467841,1751.5719790139685,3575.0499501875906,443.65409712587115,0.8151345234736265,0.18486547652637356,1823.477971173622,1571.9798509757852,1600.3052071353206,28.32535615953543
wdppvL4tIkVlGjou6aYzzjlaZXB2,638.7501650760244,1574.4926726004712,194.6809367023159,0.8337156662123747,0.1662843337876253,935.7425075244469,1413.8903546571364,1470.239162820223,56.34880816308669,681.9773476483746,1477.9267010593358,173.57712952107764,0.8475157153957625,0.1524842846042375,795.9493534109612,1481.594942073347,1531.851832993581,50.2568909202339,949.4056119351764,2573.3071304174473,500.8343809328109,0.8105397497546862,0.18946025024531377,1623.901518482271,2034.3939494347237,2057.44405259159,23.0501031568665
jpklrtZKDdb3UbsoQ7Ho5KuR5yb2,771.3333354444376,1569.7835117171867,221.67084744079037,0.7020863492827434,0.2979136507172566,798.4501762727491,1770.5799807955636,1791.1312663824183,20.551285586854647,1045.530811043861,1598.636335455096,189.79318187191572,0.8718635786213019,0.12813642137869807,553.1055244112351,1502.9219554216365,1526.6146747965165,23.69271937487997,1695.934378915546,2470.5316386354157,169.38992463167497,0.3786871461979068,0.6213128538020932,774.5972597198697,997.9860318917406,1004.335451719293,6.349419827552424
K26uNuY0VNPjJNF26wEx3bFg0kr2,589.0700156820033,1148.2711303411959,126.12886700200998,0.49507312308652685,0.5049268769134732,559.2011146591926,1586.8961929933862,1604.4993225276098,17.603129534223626,679.9111408276292,1083.4072103463538,107.03749407245729,0.8068816280537142,0.19311837194628584,403.49606951872465,1428.2224732656973,1457.7072822436248,29.484808977927514,1027.1768558435379,1850.6155505073616,161.42317663865728,0.8163586058674444,0.18364139413255562,823.4386946638238,1013.9125966626424,1069.6853363705986,55.77273970795625
pFlYc8DBmSXkvMIRgXFxvo3JB6j1,1123.1231570976543,1968.017601890408,282.52770934440537,0.6520456633944174,0.3479543366055826,844.8944447927538,1576.4888397145796,1582.7806920485284,6.291852333948782,719.0347077194514,1016.2032979539233,138.47033405395135,0.7630023577258463,0.2369976422741536,297.16859023447194,1464.1287714080056,1460.0698306898116,-4.0589407181939805,1026.2471018816723,2313.910222023403,177.31043081733665,0.8535564400817188,0.14644355991828123,1287.6631201417308,1195.2360331267146,1294.869785154595,99.63375202788052
DPvStUYSmohmXwFwaKRqHv89R3k1,552.5947193822776,1194.8401896417217,118.1729208362811,0.32918743192729677,0.6708125680727033,642.2454702594441,1711.8958486763504,1722.5135164445378,10.617667768187403,864.6199184789839,1380.8377763527822,161.48166919106794,0.7535848690426357,0.24641513095736425,516.2178578737983,1498.2890470822963,1527.6564216685929,29.36737458629659,1248.0257193935058,2970.5500706773864,319.2549950883335,0.8146953680575287,0.1853046319424712,1722.5243512838806,995.8949824116137,1035.63877050512,39.74378809350628
K7ykiXe6CqQUKpEzs2nYrMTVuDA2,560.1469782265069,1035.9159867354324,141.02386297542088,0.3832781894365762,0.6167218105634238,475.7690085089255,1693.0266578398284,1689.5511911502506,-3.4754666895778428,726.4953271028093,1715.9999999999964,141.8017158382775,0.9907407407407409,0.009259259259259092,989.5046728971871,1386.6888021177888,1425.200607230162,38.51180511237317,1297.2350075512923,3397.457712452432,400.55069190685515,0.7986989476616605,0.20130105233833942,2100.22270490114,1346.275054699624,1387.9916190894605,41.71656438983655
62fAfeQc27bZelkPX7G54T3gvci2,1138.9290610017645,1771.5443489564168,302.8892483766282,0.797986245587616,0.20201375441238412,632.6152879546523,1789.2688781869717,1786.8821508783174,-2.386727308654372,903.4915601499052,1569.8778758793128,182.3897723321309,0.8208218967614637,0.17917810323853636,666.3863157294076,1522.2934587105765,1554.7995024350325,32.50604372445605,1364.0940055565313,4196.543655645676,371.0940002051964,0.9687390535112541,0.0312609464887458,2832.4496500891446,978.4510110629576,1012.7514534526022,34.30044238964456
q0Atnpm0jZS5swcVmq0EMalQUKw1,620.8832457114574,1120.5798201264695,183.11018680578803,0.6629012083410731,0.3370987916589268,499.69657441501204,1620.661551989736,1623.7329763498983,3.071424360162382,697.780011964972,1035.8587331426766,127.9783527921497,0.8420558444421584,0.15794415555784158,338.07872117770455,1430.2399843673095,1431.5965962826765,1.3566119153670115,1259.010190708258,2495.4065707751297,204.41610473360677,0.7656151127056167,0.23438488729438342,1236.3963800668716,1083.520043377575,1145.0870889474359,61.567045569860966
kR2rCtaPyPaj7YMizKUDn5xL2qx1,621.2002895233849,1300.3018651045609,141.82439325987082,0.4006088150526555,0.5993911849473446,679.101575581176,1713.7913886995416,1731.1817888492315,17.390400149689867,723.7173101392436,1109.5176084935267,131.81513482585132,0.5987812617858244,0.4012187382141757,385.8002983542831,1483.3820739072896,1493.5103176276393,10.128243720349701,989.9465324258655,1961.7496943285291,262.7633330122687,0.6730566802340766,0.32694331976592333,971.8031619026636,1303.1902679638376,1330.9833235529786,27.793055589140977
dnkEqKuvjoQzAQm5yXlrAOp9ZlD3,832.1542422766337,1519.4734315879757,281.59972593325085,0.5682126116393073,0.43178738836069275,687.319189311342,1694.5178424831547,1692.0098472367192,-2.5079952464354847,690.954543070703,999.1668313549404,130.02484701597277,0.6085157006085598,0.39148429939144025,308.2122882842374,1503.9524000902097,1511.2661392476857,7.313739157475993,1482.9998217148868,2717.1168723737546,172.72859623533836,0.6881422810907504,0.3118577189092497,1234.1170506588678,985.9637191674276,1043.990474217471,58.02675505004345
