task,n_participants,pct_2comp_better,mean_bic_diff,median_bic_diff
PRP,184,73.36956521739131,11.282147502002259,7.071481307125168
Stroop,192,81.77083333333334,17.099582622917954,14.111488521975161
WCST,183,98.90710382513662,42.52801692088627,38.85778377580027
