gender,soa,parameter,n,r,p,mean,sd
male,short,mu,67,0.275950892948503,0.02380071602206849,822.3255466877979,268.7147000697423
male,short,sigma,67,0.2854082696232135,0.019225684413481943,163.0608087479755,106.2180753555083
male,short,tau,67,-0.21642070022299018,0.07856818195400889,325.856803278071,126.58892461118712
male,medium,mu,67,0.11177939137640532,0.3678212788144927,528.2525212455614,208.07928722290208
male,medium,sigma,67,0.03682064045856149,0.7673687659027428,94.0193759857146,102.04881280393083
male,medium,tau,67,0.05595212661281954,0.6529111793377282,346.9828464723784,109.87819547342794
male,long,mu,67,0.05784652631127359,0.6419506238343022,432.99054468174023,128.2081303718875
male,long,sigma,67,-0.020044823496535254,0.872091523423083,59.77211733255041,50.030428052572915
male,long,tau,67,0.08482928210005676,0.49490875773992543,184.39029236168395,111.19061701081135
female,short,mu,100,0.052549013636277245,0.6035917148018387,991.7157299506507,288.052027271725
female,short,sigma,100,0.13274051553646832,0.18798928166503034,204.74649954228755,128.20579746771568
female,short,tau,100,-0.10511429772617577,0.2979618221416589,328.46372272985803,177.15388775098884
female,medium,mu,101,0.001219453922008798,0.9903435848607265,639.1500870889209,241.32606421838037
female,medium,sigma,101,0.01371494521127117,0.891723074249308,130.95854362899922,118.28230009701052
female,medium,tau,101,-0.06600036045104607,0.5119819465808604,399.7426387119133,158.55298885297177
female,long,mu,95,-0.07616127755977116,0.46321231399552987,463.1589189055706,120.33392017545184
female,long,sigma,95,-0.06695402104851474,0.519139799422633,64.97818943546741,55.91577394762258
female,long,tau,95,0.08437602219144406,0.4162411216740943,229.70279910087189,127.3066082113271
