participant_id,gender,age,Factor1_Loneliness,Factor2_Distress,Loneliness_Composite,Distress_Composite
7QYZfcjgZHcVB941oHiLGGPTk7U2,female,36.0,-1.2582883495772856,0.10203734926497697,2.3,0.14285714285714285
CJINye92gDQlrSU7mv9XjlJBXo62,female,24.0,-0.21104704993016313,-0.8337968266115615,2.6500000000000004,0.5714285714285715
GE4hogtdLdTFbNasENgtm6SO3hC3,female,19.0,0.7999835241802664,1.9669679278073775,2.5500000000000003,0.42857142857142855
ORvIk1xRWIQmKuLVe6GXNouvAXx2,female,24.0,0.9962914306621893,1.1610952947288233,2.7499999999999996,0.8571428571428571
80UJMJbCOMgs6YVpsMgXfYTzw6o2,female,20.0,-0.1785923882270292,0.674478288369537,2.45,0.5714285714285715
rUuJv5gl7dWVo7UPQWMx4bohxhK2,female,20.0,-0.4977303823447397,-0.6281656667445839,2.5999999999999996,0.2857142857142857
xyAILKfYP2M8GqAai11x6NT7IcP2,male,24.0,-0.5490681591416273,-1.306186743427578,2.9,0.42857142857142855
pcbRW89vVJcviD87V3uxyG4I9st2,male,18.0,0.4922801422448669,-0.9338765902927072,2.8,0.4761904761904761
8cOQBMgQEYSlJ4CK60pFMmBVEBV2,female,20.0,-0.5590395133667458,1.0856651011448863,2.65,1.0476190476190477
yatBVTBMCSMp0wJluOCLzTFKMyP2,female,21.0,-0.7083715748471707,0.37631188459727716,2.1,0.23809523809523805
u64Uf920g5VD9Byq26LT2rs5o4t1,male,21.0,2.235068678486505,-1.4287685010107958,2.6500000000000004,0.23809523809523805
nT1qJOiMyDdJ9ui4el195A8Hsgs1,female,18.0,-0.1009194601085099,-0.7643817845284795,3.15,1.7619047619047619
cUugYJoOmOSFc0Mh5JD0ZXJrYN52,male,19.0,-0.29121817450129944,-0.8498561843936675,2.75,0.8571428571428572
dGL2zPQyEvdibcvxeTencpgoWbg2,male,19.0,0.4135765146360788,-0.901282455991981,2.7,0.5714285714285714
kxerHPSL3bQjD74HhiebYf3blPr1,female,19.0,0.547579146320927,0.25302907717301,2.6,0.8571428571428571
2h5FgHUEvBS1twD5DqbTIRrMm1f2,male,23.0,-1.453274224532192,-0.06870596010426117,2.4,1.1904761904761905
lpzDdvuMkKWkPxu6xeclmdctEp42,female,19.0,0.03730758009481699,-1.5722661423173458,2.95,0.6666666666666666
iv9ew8Ci8lOzvXFiJw1acJfuRAl2,female,18.0,1.1783127349035618,0.4528100659974244,2.4000000000000004,0.09523809523809523
A9AEg0g6c2P1Bk72HLmnK3oWJ9B2,male,21.0,2.4928045511377883,-1.3342359882132173,2.9499999999999997,1.0
7cvQFrzIDEVAkFCcGAHZPUvJ2MF3,female,20.0,-1.2695167221820778,0.47759762437425846,3.0,1.0
Qg9GDwQ9hBNkDLt50CNLd4NqRlX2,male,24.0,-0.6644643345611191,0.40539598593741,2.55,1.8095238095238095
LliUMEIsrCVZ88YFQfevan2Og4z1,male,19.0,0.2154176076103168,0.13123319679226056,2.3500000000000005,0.0
EUhcW9kURScie1DwGPHqmNqotJB2,female,19.0,0.5573583881224174,1.5977603743767264,2.55,0.23809523809523805
aj2Ivskb3BgyvBNTLIKlSZG0Sq22,female,18.0,-1.3565574877035764,0.27288314524573776,2.75,0.7142857142857143
nHy6rdfyacWW9BnyDb1dNvNYWfh1,female,19.0,-0.19933860722476698,2.0851744962052017,2.7,0.6666666666666666
iZScIvzhvAdvlsBXU5D8IHwvG6Q2,male,19.0,-0.2269450443306385,0.7707765426509307,2.65,0.3333333333333333
vpFmF3TtdQTW3MyS8ouwz3urZVs2,male,23.0,0.16302464684007947,-0.8637025692184932,2.6,0.0
wdppvL4tIkVlGjou6aYzzjlaZXB2,male,18.0,-0.9260059674259822,-0.3724286213209893,2.25,0.0
jpklrtZKDdb3UbsoQ7Ho5KuR5yb2,female,19.0,0.5858022444184247,1.3134442967428093,2.5,0.38095238095238093
K26uNuY0VNPjJNF26wEx3bFg0kr2,female,19.0,0.3464194038393036,-1.0060326759317282,3.2,0.6666666666666666
pFlYc8DBmSXkvMIRgXFxvo3JB6j1,female,19.0,0.7531711284699935,-0.16059328631602296,2.4,0.3333333333333333
DPvStUYSmohmXwFwaKRqHv89R3k1,male,21.0,-1.1787786308166297,-0.5865128520416641,2.55,0.5238095238095238
K7ykiXe6CqQUKpEzs2nYrMTVuDA2,female,22.0,1.5660589403028262,-2.1144620056020895,2.5,1.0476190476190474
62fAfeQc27bZelkPX7G54T3gvci2,female,26.0,1.3212823997776582,0.5998484772305651,2.8,0.9047619047619048
q0Atnpm0jZS5swcVmq0EMalQUKw1,female,21.0,0.4427206735317506,1.134453326841544,2.4499999999999997,0.42857142857142855
kR2rCtaPyPaj7YMizKUDn5xL2qx1,male,19.0,-0.7811698326370681,-0.6455188467182199,2.5999999999999996,1.5714285714285714
dnkEqKuvjoQzAQm5yXlrAOp9ZlD3,female,21.0,-0.8731312409093319,0.43737689818706976,2.7,0.9523809523809522
mwsliuPsLFhRFjtjQwYkqcCRDvi2,male,21.0,0.1372626151533433,-1.2944192761986193,2.6999999999999997,0.4761904761904762
iKVZi0Oo96UrMBhPQMHWFcf55uA3,male,19.0,-0.13003397776080675,0.47852899504672886,2.9,0.3333333333333333
Lhv9P8ZrkDSIB7BGwooAqfu8SGF3,male,18.0,-0.22284898891462382,0.3331437288706115,2.75,0.09523809523809523
cozYh6nJw1U2rXQho8XtSpEQXAg2,female,19.0,1.338707847189307,-1.0838718438867496,2.8499999999999996,0.8571428571428571
ssPK6ISW0HerTGke9hznqJ2LpKu1,male,20.0,-0.025956722365603924,-1.0872108078638385,2.7,0.3333333333333333
