gender,n_vulnerable_tasks,mean,std,count
female,0,43.592592592592595,12.746822407230807,27
female,1,38.733333333333334,12.780938187487685,15
female,2,40.5,10.661457061146319,4
male,0,41.0,12.642234254929852,24
male,1,41.4,9.262828941527529,5
male,2,53.0,,1
