public_id,stroop_interference,stroop_interference_slope,wcst_perseverative_error_rate,wcst_exploration_rt,wcst_confirmation_rt,wcst_exploitation_rt,wcst_pre_exploitation_rt,wcst_confirmation_minus_exploitation_rt,wcst_pre_exploitation_minus_exploitation_rt,wcst_exploration_rt_all,wcst_confirmation_rt_all,wcst_exploitation_rt_all,wcst_pre_exploitation_rt_all,wcst_confirmation_minus_exploitation_rt_all,wcst_pre_exploitation_minus_exploitation_rt_all
0GDW0WFVNKUX,98.90277777777771,-37.67226068370434,14.473684210526317,,1885.347368421229,1199.3644444447425,1885.347368421229,685.9829239764865,685.9829239764865,1438.6222222223878,1796.2238095239513,1224.2739130437535,1688.9433333334823,571.9498964801978,464.6694202897288
YV0SZQEYH96T,205.50555555439655,-70.60943939283297,7.042253521126761,,1438.5285714268684,964.2690476182671,1438.5285714268684,474.25952380860133,474.25952380860133,1569.18333333234,1419.1695652157068,964.2690476182671,1450.2068965501826,454.9005175974397,485.9378489319155
SDBPQKPH4E5W,26.858888890156663,-14.574103894841329,10.975609756097562,,1039.1789473640292,878.233333328118,1039.1789473640292,160.94561403591126,160.94561403591126,1661.4857142737933,1046.30476189795,942.9611111073582,1200.0999999919109,103.34365079059171,257.13888888455267
CMPNN7CRKQ1D,107.90833333330613,-16.10270029965504,13.750000000000002,,1776.240909090943,1291.8785714286025,1776.240909090943,484.36233766234045,484.36233766234045,1259.2090909090316,1955.6222222222325,1291.8785714286025,1754.0289473684113,663.74365079363,462.1503759398088
EVCSFO5HZQTW,65.56111111905841,-35.66333730368156,8.13953488372093,,1600.3333333333333,992.7939999973773,1600.3333333333333,607.5393333359559,607.5393333359559,2423.683333327373,1808.9370370396862,1016.047169807947,1920.7090909101746,792.8898672317392,904.6619211022277
T8LRMI2BIF41,217.89949495804433,32.144339829891905,4.761904761904762,,2279.1000000039735,1241.2023809552193,2279.1000000039735,1037.8976190487542,1037.8976190487542,1860.133333325386,2279.1000000039735,1241.2023809552193,2219.2476190498896,1037.8976190487542,978.0452380946704
NMTITEEHS8SC,480.58873015959125,15.583696245159345,29.6875,,2343.351428570066,1531.721428568874,2343.351428570066,811.6300000011922,811.6300000011922,2043.4714285646166,2194.641304347178,1531.721428568874,2183.9525252514413,662.919875778304,652.2310966825673
92GE624OS879,421.78194444442727,-25.225266955273437,9.090909090909092,,1605.109523809515,1281.8799999999899,1605.109523809515,323.22952380952506,323.22952380952506,1311.266666666682,1587.4291666666588,1307.34827586206,1532.1966666666635,280.08089080459877,224.84839080460347
KM0I167LHJBJ,140.70000000794744,10.022007601134696,7.352941176470589,,1889.6315789599169,1605.0595238038472,1889.6315789599169,284.5720551560696,284.5720551560696,1778.9799999713898,1863.3650000214577,1605.0595238038472,1846.488000011444,258.3054762176105,241.42847620759676
Q1ZTB0D173SK,180.58055557183957,-96.51173015980501,10.126582278481013,,1656.9571428526015,1602.077777783076,1656.9571428526015,54.87936506952542,54.87936506952542,3055.0199999809265,1761.9653846117167,1613.6145833333333,1970.5225806390085,148.35080127838341,356.9079973056753
2PX5265OZWLO,153.00000000000136,101.6669696969682,11.458333333333332,,2160.0476190476193,901.2950819672055,2160.0476190476193,1258.7525370804137,1258.7525370804137,1189.8333333333333,1989.7692307692307,907.3593749999927,1839.78125,1082.409855769238,932.4218750000073
89BBV3ZX5LCC,130.55682537650296,-13.819404042953204,32.03125,,2224.2888888518014,1854.1260000133514,2224.2888888518014,370.16288883845004,370.16288883845004,1818.949999968211,2376.553968240344,1917.4644067934005,2328.066666651463,459.08956144694366,410.60225985806255
N1ZRRNSJZAT3,198.8666666713026,29.98932466135007,10.843373493975903,,2467.0800000071526,1401.871153849822,2467.0800000071526,1065.2088461573308,1065.2088461573308,2178.100000023842,2396.2809523854935,1455.6410714302745,2347.796296305127,940.639880955219,892.1552248748524
DES59RJM51Y1,65.21666671170135,5.213547675439307,1.5384615384615385,,1932.1550000429154,1136.5428570792787,1932.1550000429154,795.6121429636366,795.6121429636366,5400.800000190735,1902.9095238503955,1136.5428570792787,2061.904545502229,766.3666667711168,925.3616884229505
47EAVU5RQ9OR,88.76666666732899,-45.93656313736326,11.904761904761903,,1803.909523810659,1725.897916674614,1803.909523810659,78.01160713604509,78.01160713604509,2289.050000011921,1825.3625000019867,1716.07346939554,1961.7411764754968,109.28903060644666,245.6677070799567
PZ86IRYYV584,155.3083333273728,-102.20564644138922,22.65625,,1825.72666665713,1511.2607142882687,1825.72666665713,314.4659523688613,314.4659523688613,1241.9666666587195,1842.3759259162125,1567.2464788732395,1810.775438586871,275.12944704297297,243.52895971363137
WVIO40E3EF3I,113.14052287580398,-22.333255633271257,12.121212121212121,,1956.958333333343,1414.1923076922942,1956.958333333343,542.7660256410488,542.7660256410488,2039.9,1929.0,1491.4385964912117,1955.404761904762,437.5614035087883,463.96616541355024
HU85E1KUKMJ4,-9.897222207652135,-13.201813833674855,12.048192771084338,,1865.7199999928475,1663.4444444126552,1865.7199999928475,202.2755555801923,202.2755555801923,2244.6545454588804,1857.2999999937804,1691.2874999741714,1982.6205882324891,166.01250001960898,291.33308825831773
W5HB19G2E4FH,167.11220778804818,-92.47359524364742,4.477611940298507,,1975.9277777771156,1591.7809523805267,1975.9277777771156,384.14682539658884,384.14682539658884,2639.885714284011,1975.9277777771156,1591.7809523805267,2161.835999999046,384.14682539658884,570.0550476185194
4F6OIHMBYY22,103.8238888814335,-54.62566882265594,9.090909090909092,,2131.075000000497,1060.5761904716492,2131.075000000497,1070.4988095288477,1070.4988095288477,1297.539999985695,2042.346666665872,1060.5761904716492,1935.9457142829895,981.7704761942227,875.3695238113403
62RARNJDCG5X,79.67777778042682,-79.27800397796288,7.865168539325842,,1503.7130434616752,1168.8509433876793,1503.7130434616752,334.86210007399586,334.86210007399586,2092.5142857006617,1485.5111110916844,1195.841818174449,1610.4823529229445,289.66929291723545,414.6405347484956
131OC5WWFJGM,66.51388887564337,-28.816857157945623,2.9850746268656714,,2230.9049999713898,1664.6999999909174,2230.9049999713898,566.2049999804724,566.2049999804724,2005.9999999403956,2283.0333333128974,1664.6999999909174,2238.7079999732973,618.33333332198,574.0079999823799
