parameter,coefficient,std_err,z_value,p_value
Intercept,-7.565554487002557e-20,268061.6898355686,-2.8223184341049757e-25,1.0
C(gender_male)[T.1.0],1.5832738258463135e-19,332149.027096293,4.766757379022243e-25,1.0
t2_error_prev,-0.00266263892069034,0.0073578187670502865,-0.36187884004620285,0.7174425730159435
z_ucla,-1.0196862272128032e-20,295945.27558494004,-3.4455229102656867e-26,1.0
soa_scaled,0.00045650025928117887,0.0011750593087804307,0.38849124965017373,0.6976525283467804
z_dass_dep,1.329534149848004e-19,35170.04664875619,3.780302491850757e-24,1.0
z_dass_anx,-1.0422867464184596e-19,,,
z_dass_str,-1.5388317290889533e-20,,,
Group Var,0.0,,,
