participant_id,wcst_pre_switch_n_switches_correct,wcst_pre_switch_rt_mean_w1_correct,wcst_pre_switch_rt_delta_w1_correct,wcst_pre_switch_n_valid_w1_correct,wcst_pre_switch_n_valid_delta_w1_correct,wcst_pre_switch_rt_mean_w2_correct,wcst_pre_switch_rt_delta_w2_correct,wcst_pre_switch_n_valid_w2_correct,wcst_pre_switch_n_valid_delta_w2_correct,wcst_pre_switch_rt_mean_w3_correct,wcst_pre_switch_rt_delta_w3_correct,wcst_pre_switch_n_valid_w3_correct,wcst_pre_switch_n_valid_delta_w3_correct,wcst_pre_switch_rt_mean_w4_correct,wcst_pre_switch_rt_delta_w4_correct,wcst_pre_switch_n_valid_w4_correct,wcst_pre_switch_n_valid_delta_w4_correct,wcst_pre_switch_rt_mean_w5_correct,wcst_pre_switch_rt_delta_w5_correct,wcst_pre_switch_n_valid_w5_correct,wcst_pre_switch_n_valid_delta_w5_correct
Co587hoelyeANqFX7AYvuVQW0lZ2,5.0,769.4199999928475,-180.09444444497427,5.0,5.0,782.0099999964237,-185.91230158335162,5.0,5.0,877.2066666603089,-73.53234432197203,5.0,5.0,862.9399999916553,-106.17166666927793,5.0,5.0,843.0959999942779,-164.85848484638967,5.0,5.0
CtJe4bZZnYUBNrcPk00d3YQFSGp2,5.0,995.6600000000559,-539.5877777777436,5.0,5.0,1007.2700000001117,-586.0452777776712,5.0,5.0,1044.5733333334015,-608.8495238094636,5.0,5.0,1084.0950000000187,-634.281666666675,5.0,5.0,1112.6120000000112,-688.6386666666903,5.0,5.0
DAKDKPH698P12JfTbbjemLI6PIH2,5.0,909.9199999809265,-376.31674511491866,5.0,5.0,878.6599999904632,-456.16180556259224,5.0,5.0,926.4599999984106,-446.2189285688031,5.0,5.0,954.9099999964237,-466.6857142859982,5.0,5.0,972.5839999985695,-517.3258461493407,5.0,5.0
DPvStUYSmohmXwFwaKRqHv89R3k1,5.0,1254.699999976158,-428.57111113866165,5.0,5.0,1181.3699999928474,-573.8050000101327,5.0,5.0,1145.1799999872844,-707.4771428766704,5.0,5.0,1152.7549999892713,-812.7650000194708,5.0,5.0,1178.5359999895095,-923.7560000228883,5.0,5.0
DaRehVxIOhXtEtUExdgvUl0mKcx2,4.0,1520.9999999850988,-350.2986111236944,4.0,4.0,1414.4999999776483,-512.4994253106986,4.0,4.0,1313.8916666507719,-695.1534226361131,4.0,4.0,1392.4937499910593,-674.0846230246166,4.0,4.0,1360.2349999934436,-831.306089749512,4.0,4.0
Df83JuPuJkXqTGbENhM2gw5SJM43,5.0,1169.2599999999627,-340.69682352944443,5.0,5.0,1392.0999999999767,-106.84003968255948,5.0,5.0,1485.8199999999874,-3.2400805860879016,5.0,5.0,1427.3899999999908,-88.15809523809722,5.0,5.0,1411.507999999989,-129.36013986014694,5.0,5.0
DxSidjznjVSNDJuDqqGgxpMEGtw1,5.0,1517.8799999713897,-250.8372727655401,5.0,5.0,1551.3599999666214,-240.4007143354416,5.0,5.0,1562.9399999936422,-263.33714287659484,5.0,5.0,1563.3200000047684,-307.60550000548363,5.0,5.0,1571.4480000019073,-362.80828572716035,5.0,5.0
DzB19GqCB7fyrlEPexogWkjFzEx2,5.0,1592.6800000190735,-70.38144443564943,5.0,5.0,1564.8800000190736,-106.53217170714125,5.0,5.0,1520.240000025431,-179.18971426498328,5.0,5.0,1495.425000023842,-241.2057936308876,5.0,5.0,1512.5600000190734,-241.16933331847196,5.0,5.0
EEodWwGh0wWq5f8JmzfKvq0lyeu1,5.0,978.4,-414.8942483660152,5.0,5.0,928.5000000000466,-520.5152777777254,5.0,5.0,903.0000000000466,-612.9747619047027,5.0,5.0,871.3000000000117,-739.5333333333183,5.0,5.0,893.2400000000092,-814.3066666666531,5.0,5.0
EUhcW9kURScie1DwGPHqmNqotJB2,3.0,1546.8333333333333,-381.0577160495299,3.0,3.0,1608.7833333015442,-349.944959242305,3.0,3.0,1649.233333296246,-352.0935238595994,3.0,3.0,1679.766666630904,-351.1745370946549,3.0,3.0,1742.5266666412354,-286.15807975807064,3.0,3.0
