participant_id,wcst_trials,wcst_total_errors,wcst_error_rate,wcst_perseverative_errors,wcst_perseverative_error_rate,wcst_nonperseverative_errors,wcst_perseverative_responses,wcst_perseverative_response_percent,wcst_error_pr_ratio,wcst_error_npe_ratio,wcst_trials_to_first_category,wcst_categories_completed,wcst_trials_per_category_mean,wcst_trials_per_category_sd,wcst_trials_per_category_1,wcst_trials_per_category_2,wcst_trials_per_category_3,wcst_trials_per_category_4,wcst_trials_per_category_5,wcst_trials_per_category_6,wcst_completed_categories,wcst_total_trials_summary,wcst_total_correct_summary,wcst_failure_to_maintain_set,wcst_clr_count,wcst_clr_percent,wcst_learning_to_learn,wcst_learning_to_learn_heaton_clr_delta,wcst_learning_efficiency_delta_trials,wcst_trials_to_first_conceptual_resp,wcst_trials_to_first_conceptual_resp0,wcst_has_first_clr,wcst_category_clr_percents
4ySuGdFDDmaAr6JUXbD4UIY6BQ13,82,9,0.10975609756097561,7,8.536585365853659,2,22,26.82926829268293,0.7777777777777778,0.2222222222222222,11.0,6.0,13.666666666666666,4.307615994440028,11.0,11.0,14.0,12.0,11.0,23.0,6.0,82.0,73.0,0.0,69.0,84.14634146341463,,1.2014555492816186,-3.333333333333334,4.0,3.0,1.0,"[90.9090909090909, 90.9090909090909, 71.42857142857143, 83.33333333333334, 90.9090909090909, 82.6086956521739]"
50R0P1MIMvRvK1qpqfGROchII6R2,128,54,0.421875,38,29.6875,16,60,46.875,0.7037037037037037,0.2962962962962963,16.0,5.0,25.6,16.37803407005859,16.0,53.0,24.0,31.0,4.0,,4.0,128.0,74.0,0.0,53.0,41.40625,,0.0,0.0,5.0,4.0,1.0,"[81.25, 24.528301886792452, 58.333333333333336, 41.935483870967744]"
5OOi73igsahMZ5IVKQwwyhnj4Cn2,70,7,0.1,3,4.285714285714286,4,20,28.57142857142857,0.42857142857142855,0.5714285714285714,11.0,6.0,11.666666666666666,2.4267032964268394,11.0,11.0,10.0,17.0,11.0,10.0,6.0,70.0,63.0,0.0,60.0,85.71428571428571,,-10.695187165775394,-2.0,4.0,3.0,1.0,"[90.9090909090909, 90.9090909090909, 100.0, 58.82352941176471, 90.9090909090909, 100.0]"
5Z68AKm9rIeeB2lVu3nJO7U31wk1,128,45,0.3515625,29,22.65625,16,48,37.5,0.6444444444444445,0.35555555555555557,27.0,4.0,32.0,6.819090848492928,27.0,24.0,36.0,41.0,,,3.0,128.0,83.0,4.0,66.0,51.5625,,0.0,0.0,5.0,4.0,1.0,"[85.18518518518519, 41.66666666666667, 63.888888888888886]"
5rXSa3anB5ejmFrnwUsTB82byup1,85,11,0.12941176470588237,7,8.235294117647058,4,28,32.94117647058823,0.6363636363636364,0.36363636363636365,13.0,6.0,14.166666666666666,3.2871804872193366,13.0,11.0,17.0,11.0,13.0,20.0,6.0,85.0,74.0,1.0,69.0,81.17647058823529,,-6.0784313725490335,-1.0,6.0,5.0,1.0,"[76.92307692307693, 90.9090909090909, 88.23529411764706, 90.9090909090909, 76.92307692307693, 70.0]"
5zxa5CMLGQSSonWOXqXf0QNS3PH3,87,13,0.14942528735632185,7,8.045977011494253,6,26,29.88505747126437,0.5384615384615384,0.46153846153846156,14.0,6.0,14.5,3.304037933599835,14.0,11.0,12.0,12.0,19.0,19.0,6.0,87.0,74.0,0.0,67.0,77.01149425287356,,-6.744133059922547,-4.333333333333334,7.0,6.0,1.0,"[71.42857142857143, 90.9090909090909, 83.33333333333334, 83.33333333333334, 73.68421052631578, 68.42105263157895]"
62fAfeQc27bZelkPX7G54T3gvci2,70,8,0.11428571428571428,6,8.571428571428571,2,16,22.857142857142858,0.75,0.25,13.0,6.0,11.666666666666666,0.9428090415820634,13.0,11.0,11.0,11.0,13.0,11.0,6.0,70.0,62.0,0.0,60.0,85.71428571428571,,0.0,0.0,6.0,5.0,1.0,"[76.92307692307693, 90.9090909090909, 90.9090909090909, 90.9090909090909, 76.92307692307693, 90.9090909090909]"
6ABZuv4jbjgE0B8TeyUk6nwVb122,88,10,0.11363636363636363,7,7.954545454545454,3,22,25.0,0.7,0.3,10.0,6.0,14.666666666666666,7.363574011458175,10.0,31.0,13.0,11.0,12.0,11.0,6.0,88.0,78.0,1.0,76.0,86.36363636363636,,1.452490162167578,6.666666666666666,3.0,2.0,1.0,"[100.0, 83.87096774193549, 76.92307692307693, 90.9090909090909, 83.33333333333334, 90.9090909090909]"
6OwhwWQDThSPHTVAeXugohrYuje2,128,75,0.5859375,0,0.0,75,0,0.0,0.0,1.0,128.0,1.0,128.0,0.0,128.0,,,,,,0.0,128.0,53.0,1.0,19.0,14.84375,,0.0,0.0,10.0,9.0,1.0,
6WFCyGwk71XLPBmbe4Vav3eotVm1,69,7,0.10144927536231885,4,5.797101449275362,3,14,20.28985507246377,0.5714285714285714,0.42857142857142855,10.0,6.0,11.5,1.707825127659933,10.0,12.0,15.0,11.0,11.0,10.0,6.0,69.0,62.0,0.0,60.0,86.95652173913044,,10.606060606060607,1.666666666666668,3.0,2.0,1.0,"[100.0, 83.33333333333334, 66.66666666666666, 90.9090909090909, 90.9090909090909, 100.0]"
7cvQFrzIDEVAkFCcGAHZPUvJ2MF3,76,12,0.15789473684210525,6,7.894736842105263,6,22,28.947368421052634,0.5,0.5,16.0,6.0,12.666666666666666,1.6996731711975948,16.0,11.0,13.0,11.0,12.0,13.0,6.0,76.0,64.0,0.0,60.0,78.94736842105263,,6.944444444444457,1.333333333333334,9.0,8.0,1.0,"[62.5, 90.9090909090909, 76.92307692307693, 90.9090909090909, 83.33333333333334, 76.92307692307693]"
80UJMJbCOMgs6YVpsMgXfYTzw6o2,71,10,0.14084507042253522,5,7.042253521126761,5,19,26.76056338028169,0.5,0.5,13.0,6.0,11.833333333333334,0.6871842709362769,13.0,12.0,12.0,12.0,11.0,11.0,6.0,71.0,61.0,0.0,60.0,84.50704225352112,,7.187257187257174,1.0,6.0,5.0,1.0,"[76.92307692307693, 83.33333333333334, 83.33333333333334, 83.33333333333334, 90.9090909090909, 90.9090909090909]"
87w5Le0CgZhSfYAaOH3Xd2fc98l1,128,44,0.34375,14,10.9375,30,37,28.90625,0.3181818181818182,0.6818181818181818,46.0,6.0,21.333333333333332,11.827463332806783,46.0,20.0,23.0,16.0,13.0,10.0,5.0,128.0,84.0,0.0,73.0,57.03125,,0.0,0.0,35.0,34.0,1.0,"[28.26086956521739, 50.0, 78.26086956521739, 81.25, 76.92307692307693]"
8bwaafIhKVMNBoHaXFcY8HirS9u2,82,9,0.10975609756097561,7,8.536585365853659,2,25,30.48780487804878,0.7777777777777778,0.2222222222222222,11.0,6.0,13.666666666666666,4.714045207910316,11.0,12.0,13.0,12.0,24.0,10.0,6.0,82.0,73.0,0.0,70.0,85.36585365853658,,5.167055167055167,-3.333333333333334,4.0,3.0,1.0,"[90.9090909090909, 83.33333333333334, 76.92307692307693, 83.33333333333334, 83.33333333333334, 100.0]"
8cOQBMgQEYSlJ4CK60pFMmBVEBV2,98,28,0.2857142857142857,6,6.122448979591836,22,23,23.46938775510204,0.21428571428571427,0.7857142857142857,38.0,6.0,16.333333333333332,9.706813185707357,38.0,12.0,12.0,11.0,13.0,12.0,6.0,98.0,70.0,0.0,60.0,61.224489795918366,,19.394348341716764,8.666666666666668,31.0,30.0,1.0,"[26.31578947368421, 83.33333333333334, 83.33333333333334, 90.9090909090909, 76.92307692307693, 83.33333333333334]"
9NTZ091xWyOO8DgzyTGY0O3i8IR2,91,10,0.10989010989010989,7,7.6923076923076925,3,19,20.87912087912088,0.7,0.3,11.0,6.0,15.166666666666666,4.597704741377907,11.0,20.0,13.0,12.0,23.0,12.0,6.0,91.0,81.0,1.0,77.0,84.61538461538461,,-5.968210533427921,-1.0,4.0,3.0,1.0,"[90.9090909090909, 95.0, 76.92307692307693, 83.33333333333334, 78.26086956521739, 83.33333333333334]"
9Xz1RIwnPXgyRqmucudW9VeuDnq1,71,9,0.1267605633802817,8,11.267605633802818,1,20,28.169014084507044,0.8888888888888888,0.1111111111111111,13.0,6.0,11.833333333333334,0.6871842709362769,13.0,12.0,12.0,11.0,11.0,12.0,6.0,71.0,62.0,0.0,60.0,84.50704225352112,,7.187257187257174,1.0,6.0,5.0,1.0,"[76.92307692307693, 83.33333333333334, 83.33333333333334, 90.9090909090909, 90.9090909090909, 83.33333333333334]"
9l7DjYLs0XdgwykPZR5E01KTZfu2,75,8,0.10666666666666667,7,9.333333333333334,1,23,30.666666666666664,0.875,0.125,10.0,6.0,12.5,3.8188130791298667,10.0,11.0,11.0,11.0,11.0,21.0,6.0,75.0,67.0,0.0,67.0,89.33333333333333,,-6.349206349206341,-3.666666666666668,3.0,2.0,1.0,"[100.0, 90.9090909090909, 90.9090909090909, 90.9090909090909, 90.9090909090909, 80.95238095238095]"
A9AEg0g6c2P1Bk72HLmnK3oWJ9B2,82,16,0.1951219512195122,9,10.975609756097562,7,24,29.268292682926827,0.5625,0.4375,22.0,6.0,13.666666666666666,3.815174380753199,22.0,11.0,13.0,11.0,12.0,13.0,6.0,82.0,66.0,0.0,60.0,73.17073170731707,,12.62626262626263,3.333333333333334,15.0,14.0,1.0,"[45.45454545454545, 90.9090909090909, 76.92307692307693, 90.9090909090909, 83.33333333333334, 76.92307692307693]"
ASGvwW80q7VY7xFaLGZhVuErUQu2,80,9,0.1125,7,8.75,2,26,32.5,0.7777777777777778,0.2222222222222222,10.0,6.0,13.333333333333334,3.590109871423003,10.0,21.0,12.0,13.0,11.0,13.0,6.0,80.0,71.0,1.0,67.0,83.75,,-6.51015651015652,2.0,3.0,2.0,1.0,"[100.0, 80.95238095238095, 83.33333333333334, 76.92307692307693, 90.9090909090909, 76.92307692307693]"
AUKCfn4HzgVB7m6LNnh2gQb7G5s2,94,20,0.2127659574468085,10,10.638297872340425,10,25,26.595744680851062,0.5,0.5,20.0,6.0,15.666666666666666,3.0912061651652345,20.0,16.0,15.0,12.0,19.0,12.0,6.0,94.0,74.0,1.0,66.0,70.2127659574468,,23.90350877192983,2.666666666666666,13.0,12.0,1.0,"[50.0, 62.5, 66.66666666666666, 83.33333333333334, 84.21052631578947, 83.33333333333334]"
AsXBOflrszVNKoFqbN61bMJqS0k2,105,20,0.19047619047619047,19,18.095238095238095,1,46,43.80952380952381,0.95,0.05,10.0,6.0,17.5,7.932002689527196,10.0,17.0,34.0,15.0,11.0,18.0,6.0,105.0,85.0,1.0,81.0,77.14285714285715,,-5.622895622895626,5.666666666666666,3.0,2.0,1.0,"[100.0, 76.47058823529412, 73.52941176470588, 86.66666666666667, 90.9090909090909, 55.55555555555556]"
AyAnuCaltBbpEYbudoyNzTvXlcC2,112,26,0.23214285714285715,13,11.607142857142858,13,29,25.892857142857146,0.5,0.5,34.0,6.0,18.666666666666668,8.178562764256865,34.0,22.0,13.0,11.0,21.0,11.0,6.0,112.0,86.0,1.0,78.0,69.64285714285714,,26.209411503529125,8.666666666666666,13.0,12.0,1.0,"[61.76470588235294, 45.45454545454545, 76.92307692307693, 90.9090909090909, 80.95238095238095, 90.9090909090909]"
BbwUTWswjtPWhb5DvLAmh9Hdpyl2,128,79,0.6171875,1,0.78125,78,2,1.5625,0.012658227848101266,0.9873417721518988,126.0,2.0,64.0,62.0,126.0,2.0,,,,,1.0,128.0,49.0,0.0,16.0,12.5,,0.0,0.0,50.0,49.0,1.0,[12.698412698412698]
BcCTlXWx6ARh4rBtkdWRgZH3C7H2,77,10,0.12987012987012986,5,6.493506493506493,5,20,25.97402597402597,0.5,0.5,13.0,6.0,12.833333333333334,1.0671873729054748,13.0,13.0,12.0,14.0,14.0,11.0,6.0,77.0,67.0,0.0,60.0,77.92207792207793,,-1.1377511377511524,-0.3333333333333339,6.0,5.0,1.0,"[76.92307692307693, 76.92307692307693, 83.33333333333334, 71.42857142857143, 71.42857142857143, 90.9090909090909]"
C4HWhqUIJ3Rl6SboyJGqlrXFAJJ2,105,17,0.1619047619047619,11,10.476190476190476,6,31,29.523809523809526,0.6470588235294118,0.35294117647058826,27.0,6.0,17.5,5.993051532121734,27.0,17.0,13.0,11.0,24.0,13.0,6.0,105.0,88.0,1.0,83.0,79.04761904761905,,1.1999075724565813,3.0,8.0,7.0,1.0,"[74.07407407407408, 88.23529411764706, 76.92307692307693, 90.9090909090909, 75.0, 76.92307692307693]"
CDEoAyvS8feXLKMKsaZah9agEhF3,68,6,0.08823529411764706,6,8.823529411764707,0,20,29.411764705882355,1.0,0.0,10.0,6.0,11.333333333333334,0.9428090415820634,10.0,11.0,11.0,11.0,12.0,13.0,6.0,68.0,62.0,0.0,60.0,88.23529411764706,,-10.217560217560203,-1.333333333333334,3.0,2.0,1.0,"[100.0, 90.9090909090909, 90.9090909090909, 90.9090909090909, 83.33333333333334, 76.92307692307693]"
CGyTPhevTbSvVnZ8qSP0NtWuhgw1,91,20,0.21978021978021978,11,12.087912087912088,9,24,26.373626373626376,0.55,0.45,16.0,6.0,15.166666666666666,2.91070819942883,16.0,15.0,11.0,12.0,19.0,18.0,6.0,91.0,71.0,0.0,64.0,70.32967032967034,,-2.111022505759351,-2.333333333333332,9.0,8.0,1.0,"[62.5, 66.66666666666666, 90.9090909090909, 83.33333333333334, 52.63157894736842, 77.77777777777779]"
CN1ySCsiSLN4m9yh9fS4s5p6T8k1,81,17,0.20987654320987653,9,11.11111111111111,8,21,25.925925925925924,0.5294117647058824,0.47058823529411764,16.0,6.0,13.5,2.6299556396765835,16.0,12.0,11.0,18.0,11.0,13.0,6.0,81.0,64.0,0.0,60.0,74.07407407407408,,-4.451566951566946,-1.0,9.0,8.0,1.0,"[62.5, 83.33333333333334, 90.9090909090909, 55.55555555555556, 90.9090909090909, 76.92307692307693]"
CUNlBEszJVRGK1jWlTaOaCqpDg53,76,12,0.15789473684210525,11,14.473684210526317,1,23,30.263157894736842,0.9166666666666666,0.08333333333333333,10.0,6.0,12.666666666666666,1.4907119849998596,10.0,13.0,12.0,15.0,13.0,13.0,6.0,76.0,64.0,0.0,63.0,82.89473684210526,,-6.581196581196593,-2.0,3.0,2.0,1.0,"[100.0, 76.92307692307693, 83.33333333333334, 86.66666666666667, 76.92307692307693, 76.92307692307693]"
Cbkx2NHyF3NrebzXGqNgSfiWent1,71,8,0.11267605633802817,5,7.042253521126761,3,19,26.76056338028169,0.625,0.375,13.0,6.0,11.833333333333334,0.8975274678557508,13.0,11.0,11.0,11.0,12.0,13.0,6.0,71.0,63.0,0.0,60.0,84.50704225352112,,-2.525252525252526,-0.3333333333333339,6.0,5.0,1.0,"[76.92307692307693, 90.9090909090909, 90.9090909090909, 90.9090909090909, 83.33333333333334, 76.92307692307693]"
Co587hoelyeANqFX7AYvuVQW0lZ2,82,15,0.18292682926829268,9,10.975609756097562,6,22,26.82926829268293,0.6,0.4,11.0,6.0,13.666666666666666,4.6785562825394,11.0,24.0,11.0,11.0,13.0,12.0,6.0,82.0,67.0,0.0,66.0,80.48780487804879,,0.8935508935509091,3.333333333333334,4.0,3.0,1.0,"[90.9090909090909, 66.66666666666666, 90.9090909090909, 90.9090909090909, 76.92307692307693, 83.33333333333334]"
CtJe4bZZnYUBNrcPk00d3YQFSGp2,80,16,0.2,11,13.750000000000002,5,23,28.749999999999996,0.6875,0.3125,13.0,6.0,13.333333333333334,1.3743685418725535,13.0,14.0,13.0,16.0,12.0,12.0,6.0,80.0,64.0,0.0,60.0,75.0,,1.2973137973138051,0.0,6.0,5.0,1.0,"[76.92307692307693, 71.42857142857143, 76.92307692307693, 62.5, 83.33333333333334, 83.33333333333334]"
DAKDKPH698P12JfTbbjemLI6PIH2,86,15,0.1744186046511628,7,8.13953488372093,8,23,26.744186046511626,0.4666666666666667,0.5333333333333333,16.0,6.0,14.333333333333334,3.815174380753199,16.0,11.0,11.0,13.0,22.0,13.0,6.0,86.0,71.0,1.0,67.0,77.90697674418605,,-4.399766899766888,-3.333333333333334,9.0,8.0,1.0,"[62.5, 90.9090909090909, 90.9090909090909, 76.92307692307693, 77.27272727272727, 76.92307692307693]"
DPvStUYSmohmXwFwaKRqHv89R3k1,63,3,0.047619047619047616,3,4.761904761904762,0,18,28.57142857142857,1.0,0.0,10.0,6.0,10.5,0.5,10.0,11.0,11.0,10.0,10.0,11.0,6.0,63.0,60.0,0.0,60.0,95.23809523809524,,3.030303030303017,0.3333333333333321,3.0,2.0,1.0,"[100.0, 90.9090909090909, 90.9090909090909, 100.0, 100.0, 90.9090909090909]"
DaRehVxIOhXtEtUExdgvUl0mKcx2,128,64,0.5,38,29.6875,26,62,48.4375,0.59375,0.40625,15.0,5.0,25.6,30.532605522621225,15.0,86.0,13.0,12.0,2.0,,4.0,128.0,64.0,0.0,40.0,31.25,,0.0,0.0,8.0,7.0,1.0,"[66.66666666666666, 11.627906976744185, 76.92307692307693, 83.33333333333334]"
