profile,outcome,n,beta,pval
Pure_Low,pe_rate,23,2.764534347309754,0.05034003355860492
Pure_Low,wcst_accuracy,23,-5.985730084011864,0.13921607405641215
Pure_High,pe_rate,23,1.404692774815881,0.2087146561089352
Pure_High,wcst_accuracy,23,-3.2991762809386342,0.15407295655979486
Low_Anxiety,pe_rate,39,3.8562378847608194,0.008206213769450845
Low_Anxiety,wcst_accuracy,39,-7.872891268555347,0.020552743939256726
High_Anxiety,pe_rate,33,2.962398765271049,0.1250695787350437
High_Anxiety,wcst_accuracy,33,-4.277206061284405,0.11089039991227845
