Predictor,Coefficient,SE,p_value,CI_lower,CI_upper
Intercept,11.394505240400523,19.73477358277576,0.565588212508635,-27.985622312830923,50.774632793631966
UCLA (z),10.756118084540745,19.548613474855287,0.5839686226444161,-28.252532757063776,49.764768926145265
Gender (male),-3.7352018061513537,32.22806055123696,0.9080741359121136,-68.04529535638446,60.574891744081754
UCLA × Gender,-41.710540469514655,32.85418006522276,0.20856711892885502,-107.27003605726837,23.84895511823906
