gender,metric,n,r,p
male,congruent_rt_cv,59,0.021151500567130166,0.8736615358256115
male,incongruent_rt_cv,59,0.02116972151252891,0.8735535927677414
male,rt_cv_ratio,59,0.0017564218603180965,0.9894660964183933
female,congruent_rt_cv,98,0.017630055936416214,0.8631995463376526
female,incongruent_rt_cv,98,0.19054734684755772,0.06019288238573115
female,rt_cv_ratio,98,0.07256764151937171,0.4776404312847966
