factor,r,p,n
factor1_2f,-0.09494936392170221,0.4275643964047431,72
factor2_2f,0.01885035495874442,0.8751147119398308,72
factor1_3f,-0.0903593280564065,0.4503380141113409,72
factor2_3f,0.04001487758861731,0.7385842158986599,72
factor3_3f,0.06235318404569384,0.6028326643951192,72
