,UCLA,DASS-Dep,DASS-Anx,DASS-Str,WCST PE,Stroop Int,PRP Delay
UCLA,"[1.00, 1.00]","[0.569, 0.729]","[0.342, 0.562]","[0.406, 0.611]","[-0.217, 0.059]","[-0.125, 0.153]","[0.006, 0.278]"
DASS-Dep,"[0.569, 0.729]","[1.00, 1.00]","[0.506, 0.684]","[0.536, 0.705]","[-0.269, 0.003]","[-0.190, 0.087]","[-0.107, 0.170]"
DASS-Anx,"[0.342, 0.562]","[0.506, 0.684]","[1.00, 1.00]","[0.644, 0.780]","[-0.248, 0.025]","[-0.135, 0.143]","[-0.077, 0.200]"
DASS-Str,"[0.406, 0.611]","[0.536, 0.705]","[0.644, 0.780]","[1.00, 1.00]","[-0.249, 0.025]","[-0.147, 0.130]","[-0.101, 0.176]"
WCST PE,"[-0.217, 0.059]","[-0.269, 0.003]","[-0.248, 0.025]","[-0.249, 0.025]","[1.00, 1.00]","[-0.064, 0.212]","[-0.102, 0.175]"
Stroop Int,"[-0.125, 0.153]","[-0.190, 0.087]","[-0.135, 0.143]","[-0.147, 0.130]","[-0.064, 0.212]","[1.00, 1.00]","[0.011, 0.282]"
PRP Delay,"[0.006, 0.278]","[-0.107, 0.170]","[-0.077, 0.200]","[-0.101, 0.176]","[-0.102, 0.175]","[0.011, 0.282]","[1.00, 1.00]"
