,PC1,PC2,PC3
wcst_control,0.4911697271096111,0.8663983186972455,-0.09003472957507468
stroop_control,0.6073963284562083,-0.41474735705450216,-0.6775354824614157
prp_control,0.6243572689966765,-0.2780981538502043,0.7299585039412309
