path,coefficient,p_value
a: UCLA → Meta-Control,-0.05777701548342784,0.7472661633185278
b: Meta-Control → PE,-2.1916570425957147,1.7765935694494407e-06
c': UCLA → PE (direct),0.16887394550545953,0.8035621046799868
Indirect (a×b),0.1266274028844163,
