outcome,outcome_column,n,ucla_beta,ucla_se,ucla_t,ucla_p,r2,adj_r2
Stroop Incongruent RT Slope,stroop_incong_slope,220,0.4485204557480316,0.2000630918743849,2.241895051935154,0.02599899628027193,0.04101921622130478,0.014005673016271092
Stroop Congruent RT Slope,stroop_cong_slope,220,-0.2560741790159154,0.16417543037045754,-1.5597594502301029,0.12030127813333877,0.07283292632270988,0.04671554396560318
Stroop Neutral RT Slope,stroop_neutral_slope,220,-0.2420408898822382,0.18937698677924275,-1.278090300192525,0.20260863901928702,0.028027103166142542,0.0006475849454705696
