model,term,beta,se,t,p,n
overall,z_ucla,0.0008356613572235842,0.004860943120752481,0.17191342018711434,0.8635055958798145,220
segment,z_ucla,0.0034223620185611934,0.004459549126974976,0.767423324896225,0.44282986489638443,880
segment,segment_c,0.007906767964781902,0.0026680640605258794,2.963485053362424,0.003041768336912894,880
segment,z_ucla_x_segment,0.0036518556743705298,0.0028806416589521456,1.2677229960282248,0.20489688962408603,880
